2022.12.12 15:14:59 INFO  web[][o.s.p.ProcessEntryPoint] Starting Web Server
2022.12.12 15:15:43 WARN  web[][o.s.a.s.w.WebService$Action] Since is not set on action api/monitoring/metrics
2022.12.12 15:15:43 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/monitoring/metrics
2022.12.12 15:15:43 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2022.12.12 15:15:43 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@16bbaab3 [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/components/update_key, ...]}]
2022.12.12 15:15:43 INFO  web[][o.s.s.p.DetectPluginChange] Detect plugin changes
2022.12.12 15:15:43 INFO  web[][o.s.s.p.DetectPluginChange] No plugin change detected
2022.12.12 15:15:43 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2022.12.12 15:15:46 INFO  web[][o.s.s.s.LogServerId] Server ID: 147B411E-AYTi-kAX1mczQ335SMMP
2022.12.12 15:15:46 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2022.12.12 15:15:46 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2022.12.12 15:15:48 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action saml/validation_init
2022.12.12 15:15:48 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2022.12.12 15:15:48 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2022.12.12 15:15:48 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/analysis_cache/get
2022.12.12 15:15:48 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/alm_integrations/check_pat
2022.12.12 15:15:48 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/push/sonarlint_events
2022.12.12 15:15:48 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 1 elements
2022.12.12 15:15:48 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2022.12.12 15:15:48 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2022.12.12 15:15:48 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2022.12.12 15:15:48 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2022.12.12 15:15:48 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.12.12 15:15:48 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.12.12 15:15:48 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@98d3d88 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@7fc9cd9e [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@1e01e969 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@4a2e1255 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@2aaf07e5 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.SamlValidationRedirectionFilter@1b3b8a13 [pattern=UrlPattern{inclusions=[/oauth2/callback/saml], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@a6072bc [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@30e6651f [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@1ee7c80c [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@15910d46 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@5f6f7db3 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationInitAction@1a2ea92e [pattern=UrlPattern{inclusions=[/saml/validation_init], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.saml.ws.ValidationAction@6e791941 [pattern=UrlPattern{inclusions=[/saml/validation], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.user.ws.ChangePasswordAction@62a4ccc9 [pattern=UrlPattern{inclusions=[/api/users/change_password], exclusions=[]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@2588b99c [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.12.12 15:15:48 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2022.12.12 15:15:48 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.12.12 15:15:48 INFO  web[][o.s.s.p.Platform] Web Server is operational
2022.12.12 15:53:15 INFO  web[][o.s.p.ProcessEntryPoint] Gracefully stopping process
2022.12.12 15:53:15 INFO  web[][o.s.s.n.NotificationDaemon] Notification service stopped
2022.12.12 15:53:15 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Shutdown initiated...
2022.12.12 15:53:17 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Shutdown completed.
2022.12.12 15:53:17 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database stopped
2022.12.12 15:53:17 INFO  web[][o.s.s.app.WebServer] Web Server stopped
