repo;metric;value
EnMasseProject/enmasse;ContainsActivationCount;0
EnMasseProject/enmasse;ContainsTestsCount;0
EnMasseProject/enmasse;ContainsDevCount;0
EnMasseProject/enmasse;ContainsProdCount;0
EnMasseProject/enmasse;PropertiesContainsVersionCount;0
Ericsson/ecaudit;ProfilesCount;1
Ericsson/ecaudit;ContainsReleaseCount;1
Ericsson/ecaudit;ContainsPropertiesCount;0
Ericsson/ecaudit;ContainsActivationCount;1
Ericsson/ecaudit;ContainsTestsCount;0
Ericsson/ecaudit;ContainsDevCount;1
Ericsson/ecaudit;ContainsProdCount;0
Ericsson/ecaudit;PropertiesContainsVersionCount;0
Ericsson/ecchronos;ProfilesCount;1
Ericsson/ecchronos;ContainsReleaseCount;1
Ericsson/ecchronos;ContainsPropertiesCount;0
Ericsson/ecchronos;ContainsActivationCount;1
Ericsson/ecchronos;ContainsTestsCount;1
Ericsson/ecchronos;ContainsDevCount;0
Ericsson/ecchronos;ContainsProdCount;0
Ericsson/ecchronos;PropertiesContainsVersionCount;0
Ericsson/papyrus-patches;ProfilesCount;1
Ericsson/papyrus-patches;ContainsReleaseCount;0
Ericsson/papyrus-patches;ContainsPropertiesCount;1
Ericsson/papyrus-patches;ContainsActivationCount;1
Ericsson/papyrus-patches;ContainsTestsCount;0
Ericsson/papyrus-patches;ContainsDevCount;0
Ericsson/papyrus-patches;ContainsProdCount;0
Ericsson/papyrus-patches;PropertiesContainsVersionCount;0
Ericsson/proxy;ProfilesCount;1
Ericsson/proxy;ContainsReleaseCount;0
Ericsson/proxy;ContainsPropertiesCount;0
Ericsson/proxy;ContainsActivationCount;0
Ericsson/proxy;ContainsTestsCount;0
Ericsson/proxy;ContainsDevCount;0
Ericsson/proxy;ContainsProdCount;0
Ericsson/proxy;PropertiesContainsVersionCount;0
EricssonResearch/trap;ProfilesCount;1
EricssonResearch/trap;ContainsReleaseCount;1
EricssonResearch/trap;ContainsPropertiesCount;0
EricssonResearch/trap;ContainsActivationCount;0
EricssonResearch/trap;ContainsTestsCount;0
EricssonResearch/trap;ContainsDevCount;0
EricssonResearch/trap;ContainsProdCount;0
EricssonResearch/trap;PropertiesContainsVersionCount;0
Esri/geometry-api-java;ProfilesCount;1
Esri/geometry-api-java;ContainsReleaseCount;1
Esri/geometry-api-java;ContainsPropertiesCount;1
Esri/geometry-api-java;ContainsActivationCount;1
Esri/geometry-api-java;ContainsTestsCount;0
Esri/geometry-api-java;ContainsDevCount;0
Esri/geometry-api-java;ContainsProdCount;0
Esri/geometry-api-java;PropertiesContainsVersionCount;0
Esri/server-extension-java;ProfilesCount;1
Esri/server-extension-java;ContainsReleaseCount;0
