name,url,default_branch,stars
apache/maven-surefire,https://github.com/apache/maven-surefire,master,249
apache/incubator-hivemall,https://github.com/apache/incubator-hivemall,master,248
apache/bahir-flink,https://github.com/apache/bahir-flink,master,247
apache/helix,https://github.com/apache/helix,master,241
apache/jackrabbit,https://github.com/apache/jackrabbit,trunk,241
apache/maven-plugins,https://github.com/apache/maven-plugins,trunk,240
apache/commons-codec,https://github.com/apache/commons-codec,master,238
apache/mina-sshd,https://github.com/apache/mina-sshd,master,236
apache/incubator-ratis,https://github.com/apache/incubator-ratis,master,226
apache/commons-dbutils,https://github.com/apache/commons-dbutils,master,226
apache/commons-dbcp,https://github.com/apache/commons-dbcp,master,219
apache/incubator-retired-gossip,https://github.com/apache/incubator-retired-gossip,master,218
apache/incubator-samoa,https://github.com/apache/incubator-samoa,master,217
apache/derby,https://github.com/apache/derby,trunk,204
apache/cayenne,https://github.com/apache/cayenne,master,202
apache/httpcomponents-core,https://github.com/apache/httpcomponents-core,master,199
apache/commons-imaging,https://github.com/apache/commons-imaging,master,194
apache/velocity-engine,https://github.com/apache/velocity-engine,trunk,194
apache/ofbiz-framework,https://github.com/apache/ofbiz-framework,trunk,187
apache/submarine,https://github.com/apache/submarine,master,184
apache/commons-csv,https://github.com/apache/commons-csv,master,183
apache/incubator-retired-edgent,https://github.com/apache/incubator-retired-edgent,develop,179
apache/commons-cli,https://github.com/apache/commons-cli,master,172
apache/dubbo-rpc-jsonrpc,https://github.com/apache/dubbo-rpc-jsonrpc,master,165
apache/asterixdb,https://github.com/apache/asterixdb,master,164
apache/commons-beanutils,https://github.com/apache/commons-beanutils,master,161
apache/plc4x,https://github.com/apache/plc4x,develop,158
apache/distributedlog,https://github.com/apache/distributedlog,master,154
apache/commons-text,https://github.com/apache/commons-text,master,154
apache/attic-stratos,https://github.com/apache/attic-stratos,master,153
apache/incubator-retired-wave,https://github.com/apache/incubator-retired-wave,master,152
apache/oltu,https://github.com/apache/oltu,trunk,152
apache/incubator-myriad,https://github.com/apache/incubator-myriad,master,149
apache/fluo,https://github.com/apache/fluo,master,144
apache/hadoop-common,https://github.com/apache/hadoop-common,trunk,144
apache/dubbo-proxy,https://github.com/apache/dubbo-proxy,master,143
apache/incubator-brooklyn,https://github.com/apache/incubator-brooklyn,master,141
apache/commons-compress,https://github.com/apache/commons-compress,master,138
apache/activemq-apollo,https://github.com/apache/activemq-apollo,trunk,136
apache/apex-malhar,https://github.com/apache/apex-malhar,master,132
apache/hama,https://github.com/apache/hama,master,127
apache/metamodel,https://github.com/apache/metamodel,master,126
apache/deltaspike,https://github.com/apache/deltaspike,master,124
apache/hadoop-hdfs,https://github.com/apache/hadoop-hdfs,trunk,122
apache/servicemix,https://github.com/apache/servicemix,master,121
apache/tajo,https://github.com/apache/tajo,master,121
apache/commons-fileupload,https://github.com/apache/commons-fileupload,master,119
apache/commons-net,https://github.com/apache/commons-net,master,116
apache/qpid,https://github.com/apache/qpid,trunk,114
apache/stanbol,https://github.com/apache/stanbol,trunk,113
apache/tomcat-maven-plugin,https://github.com/apache/tomcat-maven-plugin,trunk,113
apache/tomcat80,https://github.com/apache/tomcat80,trunk,109
apache/commons-validator,https://github.com/apache/commons-validator,master,108
apache/predictionio-sdk-java,https://github.com/apache/predictionio-sdk-java,develop,108
apache/incubator-streampipes,https://github.com/apache/incubator-streampipes,dev,105
apache/commons-bcel,https://github.com/apache/commons-bcel,master,104
apache/xmlgraphics-batik,https://github.com/apache/xmlgraphics-batik,trunk,104
apache/commons-vfs,https://github.com/apache/commons-vfs,master,103
apache/syncope,https://github.com/apache/syncope,master,102
apache/xmlgraphics-fop,https://github.com/apache/xmlgraphics-fop,trunk,101
apache/pulsar-manager,https://github.com/apache/pulsar-manager,master,100
apache/tiles,https://github.com/apache/tiles,trunk,99
apache/crunch,https://github.com/apache/crunch,master,98
apache/commons-configuration,https://github.com/apache/commons-configuration,master,97
apache/attic-whirr,https://github.com/apache/attic-whirr,trunk,96
apache/incubator-retired-htrace,https://github.com/apache/incubator-retired-htrace,master,95
apache/falcon,https://github.com/apache/falcon,master,95
apache/incubator-atlas,https://github.com/apache/incubator-atlas,master,95
apache/incubator-crail,https://github.com/apache/incubator-crail,master,94
apache/olingo-odata4,https://github.com/apache/olingo-odata4,master,94
apache/unomi,https://github.com/apache/unomi,master,94
apache/knox,https://github.com/apache/knox,master,92
apache/sentry,https://github.com/apache/sentry,master,91
apache/calcite-avatica,https://github.com/apache/calcite-avatica,master,89
apache/gora,https://github.com/apache/gora,master,89
apache/samza-hello-samza,https://github.com/apache/samza-hello-samza,master,88
apache/rya,https://github.com/apache/rya,master,88
apache/aries,https://github.com/apache/aries,trunk,87
apache/nifi-minifi,https://github.com/apache/nifi-minifi,master,87
apache/roller,https://github.com/apache/roller,master,87
apache/maven-archetype,https://github.com/apache/maven-archetype,master,84
apache/reef,https://github.com/apache/reef,master,84
apache/mnemonic,https://github.com/apache/mnemonic,master,84
apache/hadoop-mapreduce,https://github.com/apache/hadoop-mapreduce,trunk,83
apache/attic-polygene-java,https://github.com/apache/attic-polygene-java,master,83
apache/tapestry-5,https://github.com/apache/tapestry-5,master,82
apache/royale-compiler,https://github.com/apache/royale-compiler,develop,82
apache/joshua,https://github.com/apache/joshua,master,81
apache/commons-logging,https://github.com/apache/commons-logging,master,80
apache/incubator-datasketches-memory,https://github.com/apache/incubator-datasketches-memory,master,77
apache/httpasyncclient,https://github.com/apache/httpasyncclient,trunk,75
apache/openjpa,https://github.com/apache/openjpa,master,74
apache/incubator-retired-slider,https://github.com/apache/incubator-retired-slider,develop,74
apache/nifi-registry,https://github.com/apache/nifi-registry,master,71
apache/datafu,https://github.com/apache/datafu,master,71
apache/commons-email,https://github.com/apache/commons-email,master,71
apache/directory-kerby,https://github.com/apache/directory-kerby,trunk,70
apache/chukwa,https://github.com/apache/chukwa,master,70
apache/commons-jexl,https://github.com/apache/commons-jexl,master,68
apache/shindig,https://github.com/apache/shindig,trunk,66
apache/commons-jcs,https://github.com/apache/commons-jcs,master,65
apache/streams,https://github.com/apache/streams,master,65
apache/maven-scm,https://github.com/apache/maven-scm,master,65
apache/jclouds,https://github.com/apache/jclouds,master,65
apache/incubator-tubemq,https://github.com/apache/incubator-tubemq,master,64
apache/airavata,https://github.com/apache/airavata,master,64
apache/hbase-operator-tools,https://github.com/apache/hbase-operator-tools,master,63
apache/jspwiki,https://github.com/apache/jspwiki,master,63
apache/manifoldcf,https://github.com/apache/manifoldcf,trunk,62
apache/directory-server,https://github.com/apache/directory-server,master,62
apache/commons-crypto,https://github.com/apache/commons-crypto,master,62
apache/commons-exec,https://github.com/apache/commons-exec,master,61
apache/sis,https://github.com/apache/sis,master,61
apache/incubator-retired-pirk,https://github.com/apache/incubator-retired-pirk,master,60
apache/twill,https://github.com/apache/twill,master,60
apache/incubator-nemo,https://github.com/apache/incubator-nemo,master,58
apache/lens,https://github.com/apache/lens,master,57
apache/incubator-tez,https://github.com/apache/incubator-tez,master,57
apache/ctakes,https://github.com/apache/ctakes,trunk,57
apache/ftpserver,https://github.com/apache/ftpserver,trunk,56
apache/rocketmq-exporter,https://github.com/apache/rocketmq-exporter,master,56
apache/juneau,https://github.com/apache/juneau,master,56
apache/hcatalog,https://github.com/apache/hcatalog,trunk,56
apache/dubbo-kubernetes,https://github.com/apache/dubbo-kubernetes,master,55
apache/phoenix-omid,https://github.com/apache/phoenix-omid,master,54
apache/harmony,https://github.com/apache/harmony,trunk,53
apache/geode-examples,https://github.com/apache/geode-examples,master,52
apache/maven-release,https://github.com/apache/maven-release,master,52
apache/directmemory,https://github.com/apache/directmemory,trunk,52
apache/oodt,https://github.com/apache/oodt,master,51
apache/maven-compiler-plugin,https://github.com/apache/maven-compiler-plugin,master,51
apache/hadoop-ozone,https://github.com/apache/hadoop-ozone,master,49
apache/axis2-java,https://github.com/apache/axis2-java,trunk,49
apache/qpid-jms,https://github.com/apache/qpid-jms,master,49
apache/commons-ognl,https://github.com/apache/commons-ognl,master,48
apache/openwebbeans-meecrowave,https://github.com/apache/openwebbeans-meecrowave,master,47
apache/dubbo-sentinel-support,https://github.com/apache/dubbo-sentinel-support,master,47
apache/directory-studio,https://github.com/apache/directory-studio,master,46
apache/marmotta,https://github.com/apache/marmotta,master,44
apache/camel-quarkus,https://github.com/apache/camel-quarkus,master,44
apache/ode,https://github.com/apache/ode,master,44
apache/maven-indexer,https://github.com/apache/maven-indexer,master,44
apache/ant-ivy,https://github.com/apache/ant-ivy,master,43
apache/incubator-tamaya,https://github.com/apache/incubator-tamaya,master,43
apache/openwebbeans,https://github.com/apache/openwebbeans,master,42
apache/maven-enforcer,https://github.com/apache/maven-enforcer,master,42
apache/flink-playgrounds,https://github.com/apache/flink-playgrounds,master,40
apache/chemistry-opencmis,https://github.com/apache/chemistry-opencmis,trunk,40
apache/flex-blazeds,https://github.com/apache/flex-blazeds,master,39
apache/incubator-tuweni,https://github.com/apache/incubator-tuweni,master,39
apache/maven-shade-plugin,https://github.com/apache/maven-shade-plugin,master,39
apache/incubator-retired-s4,https://github.com/apache/incubator-retired-s4,piper,37
apache/attic-mrunit,https://github.com/apache/attic-mrunit,trunk,37
apache/myfaces,https://github.com/apache/myfaces,master,37
apache/odftoolkit,https://github.com/apache/odftoolkit,trunk,36
apache/cordova-plugin-compat,https://github.com/apache/cordova-plugin-compat,master,36
apache/incubator-sentry,https://github.com/apache/incubator-sentry,master,36
apache/clerezza,https://github.com/apache/clerezza,master,35
apache/servicemix-bundles,https://github.com/apache/servicemix-bundles,master,34
apache/incubator-retired-blur,https://github.com/apache/incubator-retired-blur,master,34
apache/predictionio-template-java-ecom-recommender,https://github.com/apache/predictionio-template-java-ecom-recommender,master,34
apache/karaf-cellar,https://github.com/apache/karaf-cellar,master,33
apache/uima-uimaj,https://github.com/apache/uima-uimaj,master,33
apache/olingo-odata2,https://github.com/apache/olingo-odata2,master,32
apache/johnzon,https://github.com/apache/johnzon,master,32
apache/freemarker-online-tester,https://github.com/apache/freemarker-online-tester,master,32
apache/commons-chain,https://github.com/apache/commons-chain,master,31
apache/maven-wagon,https://github.com/apache/maven-wagon,master,31
apache/sanselan,https://github.com/apache/sanselan,trunk,31
apache/maven-dependency-plugin,https://github.com/apache/maven-dependency-plugin,master,31
apache/xmlbeans,https://github.com/apache/xmlbeans,trunk,31
apache/sling-org-apache-sling-app-cms,https://github.com/apache/sling-org-apache-sling-app-cms,master,30
apache/uima-ruta,https://github.com/apache/uima-ruta,trunk,30
apache/opennlp-sandbox,https://github.com/apache/opennlp-sandbox,master,30
apache/incubator-retired-horn,https://github.com/apache/incubator-retired-horn,master,30
apache/synapse,https://github.com/apache/synapse,master,29
apache/james-mime4j,https://github.com/apache/james-mime4j,master,29
apache/maven-shared,https://github.com/apache/maven-shared,trunk,28
apache/incubator-datasketches-hive,https://github.com/apache/incubator-datasketches-hive,master,27
apache/velocity-tools,https://github.com/apache/velocity-tools,trunk,27
apache/maven-resolver,https://github.com/apache/maven-resolver,master,26
apache/geronimo,https://github.com/apache/geronimo,trunk,26
apache/commons-digester,https://github.com/apache/commons-digester,master,26
apache/ace,https://github.com/apache/ace,trunk,26
apache/phoenix-tephra,https://github.com/apache/phoenix-tephra,master,26
apache/commons-numbers,https://github.com/apache/commons-numbers,master,25
apache/cxf-dosgi,https://github.com/apache/cxf-dosgi,master,25
apache/incubator-dlab,https://github.com/apache/incubator-dlab,master,25
apache/qpid-broker-j,https://github.com/apache/qpid-broker-j,master,25
apache/bval,https://github.com/apache/bval,master,25
apache/maven-assembly-plugin,https://github.com/apache/maven-assembly-plugin,master,24
apache/accumulo-examples,https://github.com/apache/accumulo-examples,master,24
apache/brooklyn-server,https://github.com/apache/brooklyn-server,master,24
apache/directory-fortress-core,https://github.com/apache/directory-fortress-core,master,24
