name,url,default_branch,stars
google/cloud-cup-android,https://github.com/google/cloud-cup-android,master,40
google/helloargdx,https://github.com/google/helloargdx,master,40
google/favcolor-android,https://github.com/google/favcolor-android,master,37
google/protobuf-dt,https://github.com/google/protobuf-dt,master,34
google/TouchTime,https://github.com/google/TouchTime,master,34
google/gulava,https://github.com/google/gulava,master,34
google/identity-toolkit-java-client,https://github.com/google/identity-toolkit-java-client,master,33
google/error-prone-javac,https://github.com/google/error-prone-javac,upstream,32
google/kiwi-solver,https://github.com/google/kiwi-solver,master,31
google/git-appraise-eclipse,https://github.com/google/git-appraise-eclipse,master,29
google/rally,https://github.com/google/rally,master,29
google/wear-screeninfo,https://github.com/google/wear-screeninfo,master,29
google/bamboo-soy,https://github.com/google/bamboo-soy,master,28
google/climb-tracker,https://github.com/google/climb-tracker,master,28
google/certificate-transparency-java,https://github.com/google/certificate-transparency-java,master,28
google/google-visualization-java,https://github.com/google/google-visualization-java,master,28
google/jarjar,https://github.com/google/jarjar,master,26
google/ios-device-control,https://github.com/google/ios-device-control,master,25
google/gwt-charts,https://github.com/google/gwt-charts,master,23
google/spline,https://github.com/google/spline,master,22
google/watchpresenter,https://github.com/google/watchpresenter,master,22
google/mobly-bundled-snippets,https://github.com/google/mobly-bundled-snippets,master,21
google/brailleback,https://github.com/google/brailleback,master,21
google/turbine,https://github.com/google/turbine,master,18
google/coapblaster,https://github.com/google/coapblaster,master,18
google/ideal,https://github.com/google/ideal,master,17
google/translation-cards,https://github.com/google/translation-cards,master,15
google/heartbleed-burp-extension,https://github.com/google/heartbleed-burp-extension,master,15
google/windowtester,https://github.com/google/windowtester,master,14
google/escapevelocity,https://github.com/google/escapevelocity,master,14
google/zarathustra,https://github.com/google/zarathustra,master,13
google/supl-client,https://github.com/google/supl-client,master,12
google/android-studio-check,https://github.com/google/android-studio-check,master,11
google/jsontoken,https://github.com/google/jsontoken,master,11
google/vr180,https://github.com/google/vr180,master,11
google/reagera,https://github.com/google/reagera,master,10
google/nfc-smart-tag,https://github.com/google/nfc-smart-tag,master,10
google/intellij-protocol-buffer-editor,https://github.com/google/intellij-protocol-buffer-editor,master,10
google/easy-gwt-mock,https://github.com/google/easy-gwt-mock,master,10
google/i18n_sanitycheck,https://github.com/google/i18n_sanitycheck,master,9
google/devtools-driver,https://github.com/google/devtools-driver,master,9
google/streetview-publish-client-libraries,https://github.com/google/streetview-publish-client-libraries,master,9
google/codeu-starter-project,https://github.com/google/codeu-starter-project,master,8
google/guice-aqueduct,https://github.com/google/guice-aqueduct,master,8
google/codeu_project_2018,https://github.com/google/codeu_project_2018,master,8
google/ukey2,https://github.com/google/ukey2,master,8
google/nel-reporter-java,https://github.com/google/nel-reporter-java,master,8
google/splot-java,https://github.com/google/splot-java,master,7
google/devicehub,https://github.com/google/devicehub,master,7
google/simplecfg,https://github.com/google/simplecfg,master,7
google/martian-java,https://github.com/google/martian-java,master,7
google/picasa-app-demo,https://github.com/google/picasa-app-demo,master,7
google/cbortree,https://github.com/google/cbortree,master,7
google/jsinterop-annotations,https://github.com/google/jsinterop-annotations,master,6
google/cloud-reporting,https://github.com/google/cloud-reporting,master,6
google/YetAnotherChatApp,https://github.com/google/YetAnotherChatApp,master,6
google/AppUpdateTrackerLib,https://github.com/google/AppUpdateTrackerLib,master,5
google/ferret,https://github.com/google/ferret,master,5
google/codeu_coding_assessment_b_2017,https://github.com/google/codeu_coding_assessment_b_2017,master,5
google/codeu_coding_assessment_2017,https://github.com/google/codeu_coding_assessment_2017,master,5
google/java-sourcetools,https://github.com/google/java-sourcetools,master,4
google/ytstatistics-demo,https://github.com/google/ytstatistics-demo,master,4
google/MOE-py,https://github.com/google/MOE-py,master,4
google/keytransparency-java,https://github.com/google/keytransparency-java,master,3
google/wear-displaylock,https://github.com/google/wear-displaylock,master,3
google/infra-structured-map,https://github.com/google/infra-structured-map,master,3
google/android-kerberos-authenticator,https://github.com/google/android-kerberos-authenticator,master,3
google/where-am-i,https://github.com/google/where-am-i,master,3
google/pjflate,https://github.com/google/pjflate,master,2
google/tweakr,https://github.com/google/tweakr,master,2
google/pinotify,https://github.com/google/pinotify,master,2
google/intellij-cmdline-vcs-plugin,https://github.com/google/intellij-cmdline-vcs-plugin,master,2
google/sha1dc-jni,https://github.com/google/sha1dc-jni,master,1
google/testrunner-rosemary,https://github.com/google/testrunner-rosemary,master,1
google/jse4conf,https://github.com/google/jse4conf,master,0
google/openjdk-kerberos,https://github.com/google/openjdk-kerberos,master,0
google/inject-common,https://github.com/google/inject-common,master,0
google/sa360-webquery-bigquery,https://github.com/google/sa360-webquery-bigquery,master,0
google/framework-for-osdu,https://github.com/google/framework-for-osdu,master,0
