repo,metric,value
GoogleCloudPlatform/cloud-opensource-java,ActivationIsActiveByDefaultCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ProfilesCount,2
GoogleCloudPlatform/cloud-spanner-r2dbc,ContainsActivationCount,1
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationContainsJDKCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationContainsOSCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationContainsPropertyCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationContainsFileCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationIsActiveByDefaultCount,1
GoogleCloudPlatform/google-cloud-spanner-hibernate,ProfilesCount,2
GoogleCloudPlatform/google-cloud-spanner-hibernate,ContainsActivationCount,1
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationContainsJDKCount,0
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationContainsOSCount,0
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationContainsPropertyCount,0
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationContainsFileCount,0
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationIsActiveByDefaultCount,1
IBM/cics-bundle-common,ProfilesCount,4
IBM/cics-bundle-common,ContainsActivationCount,2
IBM/cics-bundle-common,ActivationContainsJDKCount,0
IBM/cics-bundle-common,ActivationContainsOSCount,0
IBM/cics-bundle-common,ActivationContainsPropertyCount,2
IBM/cics-bundle-common,ActivationContainsFileCount,0
IBM/cics-bundle-common,ActivationIsActiveByDefaultCount,0
IBM/cics-bundle-maven,ProfilesCount,4
IBM/cics-bundle-maven,ContainsActivationCount,2
IBM/cics-bundle-maven,ActivationContainsJDKCount,0
IBM/cics-bundle-maven,ActivationContainsOSCount,0
IBM/cics-bundle-maven,ActivationContainsPropertyCount,2
IBM/cics-bundle-maven,ActivationContainsFileCount,0
IBM/cics-bundle-maven,ActivationIsActiveByDefaultCount,0
IBM/etcd-java,ProfilesCount,1
IBM/etcd-java,ContainsActivationCount,1
IBM/etcd-java,ActivationContainsJDKCount,0
IBM/etcd-java,ActivationContainsOSCount,0
IBM/etcd-java,ActivationContainsPropertyCount,0
IBM/etcd-java,ActivationContainsFileCount,0
IBM/etcd-java,ActivationIsActiveByDefaultCount,1
IBM/ibm-cos-sdk-java,ProfilesCount,5
IBM/ibm-cos-sdk-java,ContainsActivationCount,3
IBM/ibm-cos-sdk-java,ActivationContainsJDKCount,1
IBM/ibm-cos-sdk-java,ActivationContainsOSCount,0
IBM/ibm-cos-sdk-java,ActivationContainsPropertyCount,0
IBM/ibm-cos-sdk-java,ActivationContainsFileCount,2
IBM/ibm-cos-sdk-java,ActivationIsActiveByDefaultCount,0
IBM/microprofile-meeting-concurrency,ProfilesCount,2
IBM/microprofile-meeting-concurrency,ContainsActivationCount,1
IBM/microprofile-meeting-concurrency,ActivationContainsJDKCount,0
IBM/microprofile-meeting-concurrency,ActivationContainsOSCount,0
IBM/microprofile-meeting-concurrency,ActivationContainsPropertyCount,1
IBM/microprofile-meeting-concurrency,ActivationContainsFileCount,0
IBM/microprofile-meeting-concurrency,ActivationIsActiveByDefaultCount,0
IBM/microprofile-meeting-persistence,ProfilesCount,2
IBM/microprofile-meeting-persistence,ContainsActivationCount,1
IBM/microprofile-meeting-persistence,ActivationContainsJDKCount,0
IBM/microprofile-meeting-persistence,ActivationContainsOSCount,0
IBM/microprofile-meeting-persistence,ActivationContainsPropertyCount,1
IBM/microprofile-meeting-persistence,ActivationContainsFileCount,0
IBM/microprofile-meeting-persistence,ActivationIsActiveByDefaultCount,0
IBM/microprofile-meeting-websockets,ProfilesCount,2
IBM/microprofile-meeting-websockets,ContainsActivationCount,1
IBM/microprofile-meeting-websockets,ActivationContainsJDKCount,0
