ref,title,author,lastRunTime,totalVotes,author_best_percentile,stratum
djenkivanov/top-5-simple-neural-network-solution,Top 5% Simple Neural Network Solution,djenkivanov,2026-01-19 00:08:45.337000,11,0.04962626184788472,top_1%
n3onnhowever/titanic-cv-v2,Titanic_CV_v2,n3onnhowever,2026-01-18 11:20:04,9,7.70594128072744e-05,top_1%
n3onnhowever/titanic-cv-v3,Titanic_CV_v3,n3onnhowever,2026-01-18 20:31:38.527000,5,7.70594128072744e-05,top_1%
vismayakatkar/vismaya-k,Vismaya k,vismayakatkar,2026-01-17 16:38:21,4,0.062109886722663175,top_10%
