ref,title,author,lastRunTime,totalVotes,author_best_percentile,stratum
opencv411/try-ensemble,try_ensemble,opencv411,2026-01-07 02:32:07.717000,85,0.0380327868852459,top_1%
aitbekovalibek/dinov2-unet-ensemble,DINOv2-UNet ensemble,aitbekovalibek,2026-01-04 10:31:26.187000,15,0.02098360655737705,top_1%
