name,url,default_branch,stars
PomeloFoundation/Pomelo.EntityFrameworkCore.Extensions.ToSql,https://github.com/PomeloFoundation/Pomelo.EntityFrameworkCore.Extensions.ToSql,master,58
tobym/pom,https://github.com/tobym/pom,master,57
kingaa/pomp,https://github.com/kingaa/pomp,master,57
NetEase/pomelo-cocos2dchat,https://github.com/NetEase/pomelo-cocos2dchat,master,56
gmsoft-tuxicoman/pom-ng,https://github.com/gmsoft-tuxicoman/pom-ng,master,56
liferay/liferay-maven-support,https://github.com/liferay/liferay-maven-support,master,55
BoboTiG/pombo,https://github.com/BoboTiG/pombo,master,55
nikolavp/awesome-pomodoro,https://github.com/nikolavp/awesome-pomodoro,master,54
Stratio/stratio-parent,https://github.com/Stratio/stratio-parent,master,54
apas/pomodoro,https://github.com/apas/pomodoro,master,54
isghost/pomelococoscreator,https://github.com/isghost/pomelococoscreator,master,53
parantapa/pomodoro,https://github.com/parantapa/pomodoro,master,53
PomeloFoundation/Pomelo.EntityFrameworkCore.MyCat,https://github.com/PomeloFoundation/Pomelo.EntityFrameworkCore.MyCat,master,53
baudtack/pomodoro.el,https://github.com/baudtack/pomodoro.el,master,52
JmPotato/Pomash,https://github.com/JmPotato/Pomash,master,52
halebopp/vue-pomo,https://github.com/halebopp/vue-pomo,master,51
cecom/pomutils,https://github.com/cecom/pomutils,master,50
landau/cljs-pomodoro,https://github.com/landau/cljs-pomodoro,master,50
NetEase/pomelo-admin,https://github.com/NetEase/pomelo-admin,master,49
mybatis/parent,https://github.com/mybatis/parent,master,49
tomspeak/pomodo.work,https://github.com/tomspeak/pomodo.work,master,49
verygoodwlk/java1804_pom,https://github.com/verygoodwlk/java1804_pom,master,49
NetEase/pomelo-ioschat,https://github.com/NetEase/pomelo-ioschat,master,48
nanoporetech/pomoxis,https://github.com/nanoporetech/pomoxis,master,47
pomelonode/pomelo-jsclient-socket.io,https://github.com/pomelonode/pomelo-jsclient-socket.io,master,45
pressjitsu/pomodoro,https://github.com/pressjitsu/pomodoro,master,45
junxzm1990/pomp,https://github.com/junxzm1990/pomp,master,44
dima/pomodo_on_rails,https://github.com/dima/pomodo_on_rails,master,44
justincampbell/tmux-pomodoro,https://github.com/justincampbell/tmux-pomodoro,master,44
NetEase/pomelo-scheduler,https://github.com/NetEase/pomelo-scheduler,master,43
bluebreezecf/SparkJobServerClient,https://github.com/bluebreezecf/SparkJobServerClient,master,42
steveklabnik/pomodoro,https://github.com/steveklabnik/pomodoro,master,42
Zulko/pompei,https://github.com/Zulko/pompei,master,42
verygoodwlk/shop_pom_1901,https://github.com/verygoodwlk/shop_pom_1901,master,42
mrdon/maven-yamlpom-plugin,https://github.com/mrdon/maven-yamlpom-plugin,master,42
verygoodwlk/shop_1808pom,https://github.com/verygoodwlk/shop_1808pom,master,41
ninoseki/pomodoro-daisuki,https://github.com/ninoseki/pomodoro-daisuki,master,41
tambetm/pommerman-baselines,https://github.com/tambetm/pommerman-baselines,master,41
youxiachai/pomelo-pushServer-Demo,https://github.com/youxiachai/pomelo-pushServer-Demo,master,40
lewisd32/lint-maven-plugin,https://github.com/lewisd32/lint-maven-plugin,master,40
NetEase/pomelo-cn,https://github.com/NetEase/pomelo-cn,master,39
pipi32167/pomelo-http-plugin,https://github.com/pipi32167/pomelo-http-plugin,master,39
NetEase/pomelo-sync,https://github.com/NetEase/pomelo-sync,master,38
ephread/PommePlate,https://github.com/ephread/PommePlate,master,38
niftylettuce/pomodoro-timer,https://github.com/niftylettuce/pomodoro-timer,master,38
tamagokun/pomander-wordpress,https://github.com/tamagokun/pomander-wordpress,master,37
AdamBien/javaee-essentials-pom,https://github.com/AdamBien/javaee-essentials-pom,master,36
NetEase/pomelo-robot,https://github.com/NetEase/pomelo-robot,master,36
ArcBotics/PoMoCo,https://github.com/ArcBotics/PoMoCo,master,36
gwtboot/gwt-boot-modules,https://github.com/gwtboot/gwt-boot-modules,master,36
ferstl/pedantic-pom-enforcers,https://github.com/ferstl/pedantic-pom-enforcers,master,36
verygoodwlk/shop_pom_1903,https://github.com/verygoodwlk/shop_pom_1903,master,36
12meses12katas/Diciembre-PomodoroKata,https://github.com/12meses12katas/Diciembre-PomodoroKata,master,35
nadvolod/LightPomFrameworkTutorial,https://github.com/nadvolod/LightPomFrameworkTutorial,master,35
NetEase/pomelo-aoi,https://github.com/NetEase/pomelo-aoi,master,35
PomeloFoundation/Pomelo.Data.MyCat,https://github.com/PomeloFoundation/Pomelo.Data.MyCat,master,35
veloxy/pomodoro-electron,https://github.com/veloxy/pomodoro-electron,master,35
jcabi/jcabi-parent,https://github.com/jcabi/jcabi-parent,master,34
lithium/Pomodoro,https://github.com/lithium/Pomodoro,master,34
bytbox/pommed-light,https://github.com/bytbox/pommed-light,master,34
m1nl/pompa,https://github.com/m1nl/pompa,master,34
VottonDev/pomfe.co-v1,https://github.com/VottonDev/pomfe.co-v1,master,34
NetEase/pomelo-admin-web,https://github.com/NetEase/pomelo-admin-web,master,33
marianabianca/pomodoro,https://github.com/marianabianca/pomodoro,master,33
wangsijie/pomelo-weixin-client,https://github.com/wangsijie/pomelo-weixin-client,master,33
estin/pomp-craigslist-example,https://github.com/estin/pomp-craigslist-example,master,33
NetEase/pomelo-unitychat-socket,https://github.com/NetEase/pomelo-unitychat-socket,master,32
jzsues/pomelo-websocket-java-client,https://github.com/jzsues/pomelo-websocket-java-client,master,32
AlexKorovyansky/WearPomodoro,https://github.com/AlexKorovyansky/WearPomodoro,master,32
iphelix/ida-pomidor,https://github.com/iphelix/ida-pomidor,master,32
chanmix51/PommBundle,https://github.com/chanmix51/PommBundle,master,31
NetEase/pomelo-androidchat,https://github.com/NetEase/pomelo-androidchat,master,31
jsspencer/pomo,https://github.com/jsspencer/pomo,master,31
sonatype/oss-parents,https://github.com/sonatype/oss-parents,master,30
basepom/basepom,https://github.com/basepom/basepom,master,30
NetEase/pomelo-bt,https://github.com/NetEase/pomelo-bt,master,30
D-Deo/pomelo-flash-tcp,https://github.com/D-Deo/pomelo-flash-tcp,master,30
eddy2015/ccc-pomelo-chat-client,https://github.com/eddy2015/ccc-pomelo-chat-client,master,30
liuduoios/POMVVMDemo,https://github.com/liuduoios/POMVVMDemo,master,30
