path,extension,size_bytes,source,access_mode
client/pages/energy/energy-intensity-gdp.tsx,.tsx,16712,other,frontend
client/pages/energy/final-energy.tsx,.tsx,23913,other,frontend
client/pages/energy/gas.tsx,.tsx,23083,other,frontend
client/pages/energy/index.tsx,.tsx,42247,other,frontend
client/pages/energy/nuclear.tsx,.tsx,15749,other,frontend
client/pages/energy/oil.tsx,.tsx,35880,other,frontend
client/pages/energy/primary-energy.tsx,.tsx,22845,other,frontend
client/pages/energy/renewable-energy.tsx,.tsx,20605,other,frontend
client/public/android-chrome-192x192.png,.png,10086,other,other
client/public/android-chrome-512x512.png,.png,34064,other,other
client/public/apple-touch-icon.png,.png,8921,other,other
client/public/favicon-16x16.png,.png,628,other,other
client/public/favicon-32x32.png,.png,1309,other,other
client/public/favicon.ico,.ico,15406,other,other
client/public/manifest.json,.json,321,other,data_file
client/public/robots.txt,.txt,83,other,data_file
client/public/site.webmanifest,.webmanifest,327,other,other
client/public/static/logo_tsp.svg,.svg,13730,other,other
client/styles/button1.tsx,.tsx,601,other,frontend
client/styles/popup.tsx,.tsx,467,other,frontend
client/utils/dimensionToHumanReadable.ts,.ts,2014,other,frontend
client/utils/stringToColor.ts,.ts,323,other,frontend
client/utils/syncUrlState.ts,.ts,354,other,frontend
csv-generator/.env.development,.development,156,other,other
csv-generator/.env.production,.production,144,other,other
csv-generator/handler.js,.js,1951,other,other
csv-generator/package.json,.json,618,other,data_file
csv-generator/serverless.yml,.yml,932,other,other
csv-generator/yarn.lock,.lock,170968,other,other
data/countries/countries_and_zones.csv,.csv,13526,data_countries,raw_data
data/fossil_fuels/stg_proven_reserves.csv,.csv,283393,data_fossil_fuels,raw_data
data/gapminder/final_population.csv,.csv,1572221,data_gapminder,raw_data
data/gapminder/raw_population.csv,.csv,527092,data_gapminder,raw_data
data/gapminder/raw_population_datasets.xlsx,.xlsx,7100653,data_gapminder,raw_data
data/gapminder/stg_population.csv,.csv,1127012,data_gapminder,raw_data
data/opec/raw_proven_reserves_gas.xlsx,.xlsx,52335,data_opec,raw_data
data/opec/raw_proven_reserves_oil.xlsx,.xlsx,38228,data_opec,raw_data
data/opec/stg_proven_reserves_gas.csv,.csv,112497,data_opec,raw_data
data/opec/stg_proven_reserves_oil.csv,.csv,70732,data_opec,raw_data
data/pik/final_greenhouse_gas_emissions_by_gas.csv,.csv,9144299,data_pik,raw_data
data/pik/final_greenhouse_gas_emissions_by_sector.csv,.csv,14776514,data_pik,raw_data
data/pik/raw_greenhouse_gas_emissions_country_reported.csv,.csv,35325608,data_pik,raw_data
data/pik/raw_greenhouse_gas_emissions_third_party.csv,.csv,35707542,data_pik,raw_data
data/pik/stg_greenhouse_gas_emissions.csv,.csv,38835757,data_pik,raw_data
data/raw/electricity/data_2023_qua.csv,.csv,536759,data_raw,raw_data
data/world_bank/final_population.csv,.csv,489289,data_world_bank,raw_data
