nb 0, 0
point de variabilite,27
UNIT_TESTS,8
_WIN32,4
_DEBUG,4
_MSC_VER,4
WIN32_LEAN_AND_MEAN,3
GRAPHINGAPI,3
DEBUG_RATPAK,2
APSTUDIO_INVOKED,2
GRAPHING_ENGINE_IMPL,2
APSTUDIO_READONLY_SYMBOLS,1
CONSTANTS,1
