ref,title,author,lastRunTime,totalVotes,author_best_percentile,stratum
eu1234/cv-score-predict-categoryembedding-houses-prices,cv_score_predict+CategoryEmbedding | houses prices,eu1234,2026-01-18 23:48:36.267000,9,0.08836023789294817,top_10%
thol123/lpt-13-01-2026,LPT_13/01/2026,thol123,2026-01-18 09:46:57.017000,1,0.4252336448598131,p40_50
maximendacleu/house-prices-prediction,House Prices Prediction,maximendacleu,2026-01-17 15:32:36.773000,1,0.41163976210705183,p40_50
