"sep=,"
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/read.h.xml,__HIREDIS_READ_H;__cplusplus
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/sds.c.xml,HI_SDS_TEST_MAIN
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/sds.h.xml,HIREDIS_SDS_H;REDIS_TEST;_MSC_VER;__GNUC__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/sdsalloc.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/sdscompat.h.xml,HIREDIS_SDS_COMPAT
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/sockcompat.c.xml,_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/sockcompat.h.xml,REDIS_SOCKCOMPAT_IMPLEMENTATION;_MSC_VER;_WIN32;__SOCKCOMPAT_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/ssl.c.xml,HIREDIS_USE_CRYPTO_LOCKS;OPENSSL_VERSION_NUMBER;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/test.c.xml,HIREDIS_TEST_ASYNC;HIREDIS_TEST_SSL;LLONG_MAX;NDEBUG;SIZE_MAX;_MSC_VER;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/win32.h.xml,_MSC_VER;_WIN32;_WIN32_HELPER_INCLUDE;inline;snprintf;strcasecmp;strncasecmp;va_copy
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/jemalloc/include/jemalloc/internal/arena_externs.h.xml,JEMALLOC_INTERNAL_ARENA_EXTERNS_H;JEMALLOC_JET
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/jemalloc/include/jemalloc/internal/arena_inlines_a.h.xml,JEMALLOC_INTERNAL_ARENA_INLINES_A_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/jemalloc/include/jemalloc/internal/arena_inlines_b.h.xml,JEMALLOC_INTERNAL_ARENA_INLINES_B_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/jemalloc/include/jemalloc/internal/arena_stats.h.xml,JEMALLOC_ATOMIC_U64;JEMALLOC_INTERNAL_ARENA_STATS_H
