#Params,CO₂ cost (kg)
7242000000.0,0.6095870820618575
34389000000.0,11.35169893737245
34389000000.0,11.577314287549456
34389000000.0,11.211921933663872
34389000000.0,3.3870112290744174
6061000000.0,1.1847571621382451
6061000000.0,0.968840116103892
8829000000.0,0.7344460160408538
8829000000.0,0.7840367066348469
8829000000.0,0.7267717454553025
8829000000.0,0.7923725067008767
34389000000.0,12.828741644389773
34389000000.0,12.75192792356476
34389000000.0,12.562847844990785
6061000000.0,0.5492746268500204
6061000000.0,0.5632119903092258
6061000000.0,0.5553328361218006
8829000000.0,0.7653319807085085
8829000000.0,0.7744911718966523
8829000000.0,0.9097661147960838
68977000000.0,6.098985976914155
7294000000.0,1.2695126379214017
7294000000.0,0.6243844135682026
8029999999.999999,0.7096782743049184
8029999999.999999,0.987049861129138
8029999999.999999,0.7727492723959822
8029999999.999999,1.0111115247414244
21421000000.0,1.0810383598407012
8029999999.999999,0.6886191280830397
8029999999.999999,0.6843075383802905
27227000000.0,9.997721625412398
27227000000.0,9.85673547469955
9242000000.0,3.003789344178632
10159000000.0,2.9785200672827754
8029999999.999999,1.860326503692716
8029999999.999999,0.7188342475090052
6910000000.0,0.7459889577192211
6910000000.0,1.0741097874941254
8029999999.999999,1.1661108808675174
39927000000.0,2.9598193650570765
34389000000.0,3.286492339784732
7613000000.0,2.1721133485799347
12248000000.0,1.8334023053279451
8029999999.999999,0.8927447585384559
7242000000.0,0.5922261857023506
2780000000.0,0.4655105951838824
8029999999.999999,0.9039592768236692
1544000000.0,0.673034773667099
1544000000.0,0.6885846057983909
8000000000.0,0.6397138601398595
7242000000.0,0.4764643651040789
32512000000.0,5.688000330906401
8029999999.999999,0.8721528927447473
34389000000.0,9.591483456808453
8829000000.0,2.2157204712428955
9242000000.0,5.863460482150236
70554000000.0,10.526906967407813
7242000000.0,0.9493746287459064
70554000000.0,10.43095514061939
8029999999.999999,0.8580037811784041
7242000000.0,0.7857971913732913
7616000000.0,1.3300779744804525
8829000000.0,1.1168012405532666
8029999999.999999,0.8668051031809566
7242000000.0,0.7992612170109323
70554000000.0,11.069121275425136
8029999999.999999,0.9171398085400156
7242000000.0,0.824635222613095
8029999999.999999,0.6716568094274465
8029999999.999999,0.8303799292781471
101000000.0,0.1196056526585953
218000000.0,0.163613273468609
218000000.0,0.1618760041617072
218000000.0,0.1544258975955807
887000000.0,2.4560062883721847
887000000.0,2.600607948117448
887000000.0,2.5166186803577384
887000000.0,2.5749619320293293
7768000000.0,0.1892886641410189
7768000000.0,1.1475040863370063
3821000000.0,0.5331363500192292
72700000000.0,17.35089185318524
28309000000.0,3.3347971250257986
8029999999.999999,0.6917628513734966
20245000000.0,3.5832904715342573
9242000000.0,2.6790921193617887
8029999999.999999,0.7938669535501479
4650000000.0,1.4092847029992943
13960000000.0,0.9096260929733866
8029999999.999999,0.763853564537999
8029999999.999999,0.8568197982016399
8029999999.999999,1.6142045816984325
8029999999.999999,1.6405126109472798
8029999999.999999,0.7743185740676325
8029999999.999999,2.4053312293695264
3000000000.0,0.7072190583239772
7242000000.0,0.6195232209986878
2780000000.0,0.3125386444113754
2775000000.0,0.3990327081709057
2775000000.0,0.3243950929176986
8029999999.999999,0.988384908126601
14000000000.0,0.9964144636052076
34389000000.0,2.9265963407641995
14352000000.0,1.6246302524295038
14352000000.0,1.2498823440050633
8987000000.0,0.7539389363535288
12248000000.0,1.4522482233195455
7242000000.0,0.560231988335538
7616000000.0,0.6604723330524088
34981000000.0,16.985317019483638
8028000000.0,1.1951720813209588
32296000000.0,5.517735099910102
8028000000.0,1.169689068875705
103811000000.0,28.631531711670775
103811000000.0,22.31887666767308
34981000000.0,13.395437266989823
2506000000.0,0.9796484742504704
2506000000.0,0.9945691201747504
2506000000.0,0.962068098338517
2506000000.0,0.960808812977414
8029999999.999999,0.6968492201522741
8029999999.999999,0.7186968825693228
8029999999.999999,0.7536131379003268
14770000000.0,1.6653521763648689
7616000000.0,1.045560869633253
34389000000.0,3.0708142239631253
32764000000.000004,13.000421562015136
14770000000.0,1.6671296117514365
494000000.0,1.177797308542579
630000000.0,0.6096954442103679
630000000.0,0.6101713317128061
7242000000.0,0.4617132833196359
2786000000.0,0.2936912519225461
-1000000000.0,0.8211648206321267
6885000000.0,0.711358350403807
7616000000.0,1.0906328003583745
14766000000.0,2.250433784833411
14766000000.0,4.430605654472236
14770000000.0,2.2222344879921874
14770000000.0,1.393012702293842
14491000000.0,2.1559876923816415
14766000000.0,1.8538210420080037
14766000000.0,1.7963825527781585
14766000000.0,1.9508260457555175
14766000000.0,1.9578960107806809
14766000000.0,1.8651600460737785
14766000000.0,1.8301911112007432
14766000000.0,1.9748936860394724
14766000000.0,1.9650746463730715
7000000000.0,1.2567583759995584
7000000000.0,0.4708724191978351
14483000000.0,0.9714233821373284
7242000000.0,0.6303373271199019
8029999999.999999,0.8364786652077056
13960000000.0,1.5723151838835296
8029999999.999999,0.7741591856978718
12248000000.0,3.2346441839869495
8029999999.999999,0.7985691981832919
8029999999.999999,0.8146989006651093
8029999999.999999,0.7905887457213416
8029999999.999999,0.8437165845529616
7000000000.0,0.437885590110603
7000000000.0,1.897129798190933
11520000000.0,2.0122850168801376
8029999999.999999,0.9391407069339804
12174000000.0,1.4375216123892207
12174000000.0,1.4247071736907972
12174000000.0,1.3823971864376314
16536999999.999998,2.922798596582253
12174000000.0,1.3976996008626377
7044000000.0,0.6421373474626886
7044000000.0,0.6386493323361571
8029999999.999999,1.7502392589909803
1236000000.0,0.891845751897302
1236000000.0,0.4671893694083749
1236000000.0,0.4699659488769376
1236000000.0,0.912911836713503
124000000.0,0.1258652097415954
8029999999.999999,0.8561779968441444
124000000.0,0.1299073091960183
124000000.0,0.2304064688014811
8029999999.999999,1.704023495922865
8029999999.999999,0.860454719743755
8029999999.999999,0.8284458065320179
3086000000.0,2.2934995121401753
7616000000.0,1.734911100022228
8029999999.999999,0.7782584486500115
8029999999.999999,2.5075735912307806
8029999999.999999,0.8390000546863493
7616000000.0,1.2926795771746673
7616000000.0,1.2888213463878304
8000000000.0,2.2942323567330214
8029999999.999999,0.6774859848109629
8029999999.999999,0.640597596583332
8414000000.0,1.1997430790836436
7000000000.0,1.1338381580565904
9242000000.0,2.708161677190859
8414000000.0,1.2520533401781035
8029999999.999999,0.6586223300002805
8029999999.999999,0.8431278895149513
8029999999.999999,0.7157813898750875
8029999999.999999,0.7673769769612673
8029999999.999999,0.8008501327903969
8029999999.999999,0.7951160978369094
8029999999.999999,0.6650688201069717
8029999999.999999,0.6546641906422448
8029999999.999999,1.4440211221606587
8029999999.999999,0.6746590709993813
8029999999.999999,0.7152405223860491
9242000000.0,3.088349583676092
8029999999.999999,0.8132600469745505
8029999999.999999,0.7493010463585114
8029999999.999999,0.735627274295549
8029999999.999999,0.7455864450908245
8029999999.999999,0.6589947411870546
8029999999.999999,0.66231371473775
8029999999.999999,0.673546661000544
8029999999.999999,0.7644487666399009
8029999999.999999,0.8286465221144887
8029999999.999999,0.7923424980400432
8029999999.999999,0.8074705227603425
8029999999.999999,0.6656693171535578
8029999999.999999,0.866723896694403
8029999999.999999,0.6629505426871233
8029999999.999999,0.8181123053355764
7242000000.0,0.6615716673635748
8029999999.999999,0.6635401620768692
72706000000.0,22.955098466310023
6000000000.0,0.7674321563855381
1366000000.0,0.3594240615190476
150000000.0,0.2029024865932594
2718000000.0,0.5083814016232907
20739000000.0,3.146736373615041
12000000000.0,1.1180071531663731
213000000.0,0.2353385413040577
2909000000.0,0.7539020016215645
506000000.0,0.3770818272172579
6900000000.0,0.8688669144579199
8031000000.000001,1.009127965308664
8031000000.000001,1.1843373398046615
8029999999.999999,1.4708355820828696
8029999999.999999,0.932571245200544
8029999999.999999,0.94564159228199
12248000000.0,1.991411391398455
12248000000.0,3.4923839709753426
8029999999.999999,0.8181850247084421
12248000000.0,1.7704359904032256
8000000000.0,0.9208525873271448
2000000000.0,2.036798426888711
2000000000.0,1.1285928174304565
7000000000.0,0.9719780087939942
14483000000.0,2.3549609828071594
12248000000.0,1.6185208209874729
12000000000.0,1.6626633956315184
8000000000.0,0.9223811247844632
8000000000.0,0.8856449282711565
8000000000.0,0.8117431345814908
8000000000.0,0.6949942794064364
8000000000.0,0.8147864660837938
8000000000.0,0.8543177809047187
8000000000.0,1.7167339445503813
8029999999.999999,2.2853056830713743
8029999999.999999,0.6720677706638591
8000000000.0,0.8390365655346463
8000000000.0,0.7451309547743399
8029999999.999999,0.9102715980909136
8000000000.0,0.833575782418707
12248000000.0,1.7712690994345468
3000000000.0,0.7108156711648944
12248000000.0,1.3636074640143
7000000000.0,0.969634842541196
12000000000.0,1.872564688227262
8000000000.0,0.8483321380464708
8000000000.0,0.8705716876801622
8000000000.0,0.7975230737879972
8000000000.0,0.7652479183229487
8000000000.0,0.9347739599951074
8000000000.0,0.9020296328434972
8000000000.0,0.8839740092124098
8000000000.0,0.9097590647761512
8000000000.0,0.894943365376195
11580000000.0,1.8814256364904496
8000000000.0,0.7916827345659109
8000000000.0,0.8008176147484493
13960000000.0,0.7718137674592886
7242000000.0,0.5508246280271973
7242000000.0,0.5540226403673537
3821000000.0,0.6354969306598104
3821000000.0,0.6312955389348048
8029999999.999999,0.9736847295609784
8029999999.999999,0.8548066413081815
8029999999.999999,0.8622014709516758
7616000000.0,1.3857420447130364
7616000000.0,1.1971812617596305
8029999999.999999,0.7893293211423049
8029999999.999999,0.750015414802549
8029999999.999999,1.7203004935938937
10732000000.0,0.8572737776360095
162000000.0,0.1815806091395342
33000000.0,0.1680668895170566
500000000.0,0.4836935962232535
16000000000.0,0.4875447998759818
500000000.0,0.5083650782046052
500000000.0,0.4815670829595984
500000000.0,0.4921863911706713
16000000000.0,1.0088012022015602
14483000000.0,1.0020482177522776
14496000000.0,1.009646735054172
7000000000.0,1.0802461386460065
14483000000.0,1.0761136511060907
7242000000.0,0.4433061109891907
12248000000.0,1.5290196825448796
12248000000.0,1.6242638088286627
9242000000.0,1.9310946507345252
8029999999.999999,0.6734109213144589
630000000.0,0.4876424017325159
630000000.0,0.4980036188524055
1777000000.0,0.7833808700754186
1544000000.0,0.7192429112316412
1544000000.0,0.7062007579348313
14770000000.0,1.747116815121296
7616000000.0,1.2015064279743322
1544000000.0,0.7911525988603724
7000000000.0,1.3788389441043891
7000000000.0,0.6916989307379043
9242000000.0,2.645943993216027
7242000000.0,0.6398635932435057
46703000000.0,4.6044632298562655
8029999999.999999,0.7208364945650547
12248000000.0,1.6855832005591775
12248000000.0,1.7372530273811069
12248000000.0,1.6820264418278403
22247000000.0,1.453320074147611
10159000000.0,3.137247537892627
20318000000.0,5.876476720258237
20318000000.0,9.394333552078164
8029999999.999999,0.7952447886881179
8029999999.999999,1.398697132667814
8029999999.999999,0.7187398980561769
8029999999.999999,0.6752873084543018
24942000000.0,2.1376952021514803
7242000000.0,0.7956751991931201
7242000000.0,0.5550230908694535
8538000000.0,1.481775141628969
140621000000.0,42.06778642306777
1710000000.0,0.3243072565176619
1710000000.0,0.3170226634267443
130000000.0,0.3433775075576674
135000000.0,0.467804895283865
360000000.0,0.365259532167126
362000000.0,0.366501024298985
1710000000.0,0.3250259911403082
1710000000.0,0.3249605231216809
135000000.0,0.3339045666301529
135000000.0,0.338375628206877
135000000.0,0.348753843693507
360000000.0,0.386657809372346
362000000.0,0.3923818692717623
360000000.0,0.375819270764297
8029999999.999999,0.7482781406705685
12248000000.0,1.6202833064408968
7616000000.0,1.1933927186332434
13000000000.0,1.1082574303345918
8029999999.999999,1.8187226373389151
7000000000.0,0.4892903144833447
7242000000.0,0.5636920286565241
7000000000.0,0.5604414844805996
7000000000.0,0.5595238951778243
19861000000.0,1.381127809431825
8029999999.999999,0.8905821050422911
8029999999.999999,0.8798822262772638
7616000000.0,1.0767906750734595
7616000000.0,1.130914646790651
3086000000.0,1.2147641107160356
162000000.0,0.0934743941743699
68000000.0,0.0605579039184108
34389000000.0,3.42669714201879
12879000000.0,1.860053302725323
12879000000.0,0.8662645383190185
24154000000.0,1.6766143676427347
24154000000.0,1.6513719521912902
12879000000.0,0.8818408275559706
7242000000.0,0.5958045958649423
8029999999.999999,0.513151724588246
8029999999.999999,0.4817909091319884
8029999999.999999,0.4785354138203994
8029999999.999999,0.5224851991910083
8029999999.999999,0.4803711012071209
8029999999.999999,1.009359203638822
8029999999.999999,0.5019935256585902
8029999999.999999,0.4865859481229309
8029999999.999999,0.7075451204073241
8029999999.999999,0.8747313938555062
2780000000.0,0.4714036094971793
1100000000.0,0.1737935983766942
1100000000.0,0.2378315126451458
1100000000.0,0.2573832662901053
1100000000.0,0.2729437792562811
1100000000.0,0.1633856401861993
15231000000.0,1.8893955296714675
70554000000.0,9.601028865895834
70554000000.0,9.47373824154548
70554000000.0,9.656198988776492
70554000000.0,12.554447084741954
12248000000.0,1.0532837723655222
1316000000.0,0.8327450684953104
494000000.0,0.6686904299214081
3213000000.0,0.6752350025810513
24154000000.0,1.6660353312717722
8029999999.999999,0.8038110075755518
7242000000.0,0.4548601599414557
8029999999.999999,0.8529641414406882
8029999999.999999,0.9155100842800143
7242000000.0,0.5962990298332037
7242000000.0,0.5835721210587271
7242000000.0,0.5990642500924268
7616000000.0,0.6365360247959104
7242000000.0,1.9903782778128376
1777000000.0,0.589778301043505
6738000000.0,0.4838177160569967
6738000000.0,0.9836533944137832
8029999999.999999,0.7568876072004526
8029999999.999999,0.758357790011608
7800000000.0,0.8251279774796095
2400000000.0,0.6072714602986501
7800000000.0,0.7199716704934385
65286000000.0,8.838206417729227
65286000000.0,17.259828063150998
1346000000.0,0.2475826759415346
14766000000.0,2.2646505172395983
8029999999.999999,0.8519356294482479
2506000000.0,0.966577672280824
1543000000.0,0.8445617663049534
7242000000.0,0.581991823672954
24154000000.0,1.6572590101673916
7242000000.0,0.6619306009486569
7242000000.0,0.6133181226037983
7242000000.0,0.6984955784720502
7242000000.0,0.6677153990275635
7242000000.0,0.4424065898013453
7242000000.0,0.6565460368913401
7242000000.0,0.6441774683784759
7242000000.0,0.4489106580895318
7242000000.0,0.4487411697422009
7242000000.0,0.4477639532047933
7242000000.0,0.436729898941549
7242000000.0,0.4627547383570262
7242000000.0,0.4522550204317055
7242000000.0,0.4408932076661833
7242000000.0,0.4704043052333971
7242000000.0,0.6836708906153316
7242000000.0,0.445369391222944
7242000000.0,0.4610457299103071
7242000000.0,0.4768653041111124
7242000000.0,0.443708544600549
7242000000.0,0.4557151627283165
7242000000.0,0.6608902644526
7242000000.0,0.631059639441631
7242000000.0,0.6875494454496557
7242000000.0,0.6485254035817755
7242000000.0,0.6213508564736376
7242000000.0,0.653249878257643
7242000000.0,0.6408049347507471
7242000000.0,0.582079399818881
7242000000.0,0.6298125839746871
2614000000.0,2.4241604785653426
2614000000.0,1.289832484365067
7616000000.0,0.6850489839975119
7616000000.0,1.2495998696070838
7616000000.0,1.275211435580003
7616000000.0,1.2858008502868985
1777000000.0,0.6473094756783748
7616000000.0,1.2781107719464089
3821000000.0,2.7429066405461255
1777000000.0,0.6903570368821728
16061000000.0,1.7701882435701863
3293000000.0,0.3480815434665663
7616000000.0,1.2811271075442374
7616000000.0,1.3057103128688
7616000000.0,1.2864251984084647
7616000000.0,1.247841053987101
7616000000.0,1.2746199079970209
3821000000.0,1.4175135448002238
8029999999.999999,0.8266246336662607
8029999999.999999,0.8362810671872299
8029999999.999999,0.7323124058624179
8029999999.999999,0.8871420735927358
8029999999.999999,0.8336868910313886
8029999999.999999,0.8851430751496295
8029999999.999999,0.9568030034424309
8029999999.999999,0.8907147725121036
8029999999.999999,0.8149409181903315
248000000.0,0.2422144259484986
12248000000.0,1.452633039239195
12248000000.0,1.5325245349547734
8000000000.0,0.9157373416580632
1236000000.0,0.4501333052866559
3213000000.0,0.7336396973945092
248000000.0,0.2341836114207786
630000000.0,1.0515562311926925
8029999999.999999,0.7747205643348448
1544000000.0,0.4932880155559795
