Component,Nb
MapReduce,1
Sharding,11
Indexing,2
Aggregation Framework,1
Replication,4
Internal Code,13
Testing Infrastructure,7
Querying,5
Networking,1
Storage,1
Admin,1
Diagnostics,2
Security,1
