vikhalv/mssql-jdbc;pom.xml;786
webfx-project/webfx;webfx-tutorials/webfx-tutorials-colorfulcircles/webfx-tutorials-colorfulcircles-application-gwt/pom.xml;3609
HaiPhan1991/amber_caffe;3rd_party/protobuf-3.1.0/java/pom.xml;6
fregaham/Seam_2_3;examples/seambay/seambay-web/pom.xml;1
noombimmer/TALEND_JOBS;AUTOLIV_PROJECT/LOCAL_PROJECT/poms/jobs/process/origin/step6_update_class_0.1/pom.xml;3
zcxfcb/6650;Documents/6650/Assignment2/java-client-generated/pom.xml;6
laiStronger/scrm-core-account;pom.xml;0
sivaa1233/game-of-life;game-of-life/pom.xml;3
wavemakerapps/Auto_FqnfMdkTPN;pom.xml;0
qiangluCloudRes/boot-learn;spring-boot-project/spring-boot-actuator-autoconfigure/pom.xml;13311
ammananna143/helloworld;game-of-life/pom.xml;3
GeorgiPachov/playground;build/tmp/expandedArchives/guava-20.0.jar_2azxnv0wou1aws673fn85vrok/META-INF/maven/com.google.guava/guava/pom.xml;47
zhoubangtao/daemon;pom.xml;15
cdttech/Talend_AP1POC;AP1_POC/poms/jobs/process/AP1_POC/POTS/pots_airport_consumer_0.1/pom.xml;0
ufcg-lsd/SEBAL;pom.xml;265
singh4java/poc;spring-boot/pom.xml;5654
VireshDoshi/selenium-framework;pom.xml;0
klodale9491/redcapd;usermanager/pom.xml;22
wavemakerapps/Auto_TGyQHtoqix;pom.xml;0
cp2boston/java-0.7;api/pom.xml;30
nicecapj/crossplatfromMmorpgServer;ThirdParty/protobuf/java/pom.xml;28
zlgenuine/weka-trunk;packages/external/SMOTE/pom.xml;0
wavemakerapps/Auto_AjuAyFpgJH;pom.xml;0
manish0890/skyline-service;pom.xml;2
giovannamalhotra/job_dashboard;batch/target/streams/$global/assemblyOption/$global/streams/assembly/0f8b4d0c0f7c69e73d82d02ab388c8936a3313c5_8f33a218f0bcad15223dd8c3af31f1b65c80c7a7/META-INF/maven/org.yaml/snakeyaml/pom.xml;1
wavemakerapps/Auto_YnuasiQmaD;pom.xml;0
Blein72/Android-Projects;Forchanclient/app/libs/gson-master/gson/pom.xml;10
xing-yue/test;pom.xml;1
shashi4c2/jenkinsbuildpractice;pom.xml;229
dev-zph/out-food;out-food/pom.xml;0
MoonWorm/kyripay_tr;payment_service/pom.xml;25
bripkens/opendecisionrepository;sources/entities/pom.xml;450
yu-yamada/presto-custom;presto-mongodb/pom.xml;1
CSJosh/Java;SUMMERJAVA/apptbook/pom.xml;2
getarbind/arquillian-test-framework;pom_backup_NOT_USED.xml;1
Nitin00797/game-of-life;pom.xml;221
h-shvedko/jenkins-folder;plugins/email-ext/META-INF/maven/org.jenkins-ci.plugins/email-ext/pom.xml;1
maulaku/openmobster;cloud/android/test-suite/test-native-framework/pom.xml;120
ekromlev/WebDriver;pom.xml;1004
udoprog/microrpc-java;pom.xml;10
wavemakerapps/Auto_MzYgWOWsrB;pom.xml;0
tangtang0901/tangtie;web/pom.xml;1
ssaravanan/jenkins-demo;pom.xml;0
yangzuojie123456/springboot-service;pom.xml;4
amzedauren/DiplomaProject;pom.xml;16
neojjang/openmobster;cloud/android/test-suite/test-connection-port/pom.xml;120
Shachty/dst;pom.xml;30
GaetanWinter/LibrePlan;libreplan-webapp/pom.xml;1
knoppiks/hap-java-client;pom.xml;43
thalim/crux-projects;phonebook/pom.xml;109
ChiralBehaviors/Ultrastructure;animations/pom.xml;2472
cgmenezes/logistics-rest;pom.xml;1
atolcd/pentaho-gis-plugins;pentaho-gis-plugins/pom.xml;25
gsonkeno/spring-boot-analysis;spring-boot-project/spring-boot-tools/spring-boot-gradle-plugin/pom.xml;9
matthewhorridge/widgetmap;pom.xml;51
wzyy2/chromium-browser;third_party/protobuf/java/pom.xml;2
mridpin/TAD_Group_03;EPD06/ej1/pom.xml;43
shobhitj34/NRM-test;com.google.guava/guava/20.0/pom.xml;0
ajbali-talend/git-training-tmc;TMC_AJBALI/poms/jobs/process/runtjoblog_0.1/pom.xml;0
XiaoMi/galaxy-hadoop;examples/fds-mapreduce/bucket-traffic-fds/pom.xml;16
armandorvila/collaborative-network;collaborative-network-web/pom.xml;3
shujiehan/StreamDFP;pom.xml;3
