month,Backend-oriented,Data engineering,Mixed / support
2025-01,0,0,12
2025-02,0,0,72
2025-03,0,0,129
2025-04,0,26,209
2025-05,18,0,276
2025-06,0,0,145
2025-07,0,0,6
2025-11,0,0,31
2025-12,0,0,56
