extension,count
NO_EXT,17
.avif,1
.bz2,1
.cjs,1
.css,4
.csv,27
.html,2
.ico,2
.idx,1
.ini,1
.jpg,5
.js,5
.json,17
.jsonl,1
.lock,2
.md,9
.mdx,1
.mjs,2
.pack,1
.parquet,2
.png,92
.py,88
.pyc,2
.rdf,2
.rev,1
.sample,14
.sh,1
.svg,30
.toml,1
.ts,194
.tsx,285
.ttf,1
.txt,2
.webp,5
.xls,2
.xlsx,1
.xml,6
.yaml,7
.yml,4
.zip,1
