competition,stratum,ref,url,votes,author_best_percentile,local_kernel_dir,local_main_file
hull-tactical-market-prediction,p40_50,hausch11/hull-tactical-exp-02-inference-server,https://www.kaggle.com/code/hausch11/hull-tactical-exp-02-inference-server,2,0.421152800435019,corpus\hull-tactical-market-prediction\notebooks\p40_50\hausch11__hull-tactical-exp-02-inference-server,corpus\hull-tactical-market-prediction\notebooks\p40_50\hausch11__hull-tactical-exp-02-inference-server\hull-tactical-exp-02-inference-server.ipynb
hull-tactical-market-prediction,p40_50,sammas12312/12-13-2025-hull-tactical-grind,https://www.kaggle.com/code/sammas12312/12-13-2025-hull-tactical-grind,0,0.4526916802610114,corpus\hull-tactical-market-prediction\notebooks\p40_50\sammas12312__12-13-2025-hull-tactical-grind,corpus\hull-tactical-market-prediction\notebooks\p40_50\sammas12312__12-13-2025-hull-tactical-grind\12-13-2025-hull-tactical-grind.ipynb
hull-tactical-market-prediction,p40_50,lunacyindigo/marketprediction2025,https://www.kaggle.com/code/lunacyindigo/marketprediction2025,0,0.4187058183795541,corpus\hull-tactical-market-prediction\notebooks\p40_50\lunacyindigo__marketprediction2025,corpus\hull-tactical-market-prediction\notebooks\p40_50\lunacyindigo__marketprediction2025\marketprediction2025.ipynb
playground-series-s6e1,top_1%,datasciencegrad/s6e1-hill-climbing-and-ridgecv,https://www.kaggle.com/code/datasciencegrad/s6e1-hill-climbing-and-ridgecv,48,0.0070367474589523,corpus\playground-series-s6e1\notebooks\top_1%\datasciencegrad__s6e1-hill-climbing-and-ridgecv,corpus\playground-series-s6e1\notebooks\top_1%\datasciencegrad__s6e1-hill-climbing-and-ridgecv\s6e1-hill-climbing-and-ridgecv.ipynb
playground-series-s6e1,top_1%,nina2025/ps-s6e1-hb32g,https://www.kaggle.com/code/nina2025/ps-s6e1-hb32g,18,0.0105551211884284,corpus\playground-series-s6e1\notebooks\top_1%\nina2025__ps-s6e1-hb32g,corpus\playground-series-s6e1\notebooks\top_1%\nina2025__ps-s6e1-hb32g\ps-s6e1-hb32g.ipynb
playground-series-s6e1,top_1%,datasciencegrad/s6e1-student-test-scores-wb,https://www.kaggle.com/code/datasciencegrad/s6e1-student-test-scores-wb,14,0.0070367474589523,corpus\playground-series-s6e1\notebooks\top_1%\datasciencegrad__s6e1-student-test-scores-wb,corpus\playground-series-s6e1\notebooks\top_1%\datasciencegrad__s6e1-student-test-scores-wb\s6e1-student-test-scores-wb.ipynb
playground-series-s6e1,top_1%,manasi197/ps6e1-meta-ensemble,https://www.kaggle.com/code/manasi197/ps6e1-meta-ensemble,10,0.034401876465989,corpus\playground-series-s6e1\notebooks\top_1%\manasi197__ps6e1-meta-ensemble,corpus\playground-series-s6e1\notebooks\top_1%\manasi197__ps6e1-meta-ensemble\ps6e1-meta-ensemble.ipynb
playground-series-s6e1,top_1%,utaazu/s6e1-tobit-xgboost-theoretical-implementation,https://www.kaggle.com/code/utaazu/s6e1-tobit-xgboost-theoretical-implementation,4,0.0324472243940578,corpus\playground-series-s6e1\notebooks\top_1%\utaazu__s6e1-tobit-xgboost-theoretical-implementation,corpus\playground-series-s6e1\notebooks\top_1%\utaazu__s6e1-tobit-xgboost-theoretical-implementation\s6e1-tobit-xgboost-theoretical-implementation.ipynb
recodai-luc-scientific-image-forgery-detection,top_1%,opencv411/try-ensemble,https://www.kaggle.com/code/opencv411/try-ensemble,85,0.0380327868852459,corpus\recodai-luc-scientific-image-forgery-detection\notebooks\top_1%\opencv411__try-ensemble,corpus\recodai-luc-scientific-image-forgery-detection\notebooks\top_1%\opencv411__try-ensemble\try-ensemble.ipynb
recodai-luc-scientific-image-forgery-detection,top_1%,aitbekovalibek/dinov2-unet-ensemble,https://www.kaggle.com/code/aitbekovalibek/dinov2-unet-ensemble,15,0.020983606557377,corpus\recodai-luc-scientific-image-forgery-detection\notebooks\top_1%\aitbekovalibek__dinov2-unet-ensemble,corpus\recodai-luc-scientific-image-forgery-detection\notebooks\top_1%\aitbekovalibek__dinov2-unet-ensemble\dinov2-unet-ensemble.ipynb
