Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Memory (MB),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B)
8bit-bnb-eager,microsoft/Phi-3-mini-4k-instruct,0.087,0.0854108161926269,11.702,294097.016,4344.502,pytorch,float16,BnB.8bit,Eager,No Kernel,Phi3ForCausalLM,5.471,27.2,3
8bit-bnb-fa2,microsoft/Phi-3-mini-4k-instruct,0.084,0.0842588157653808,11.952,304937.349,4343.977,pytorch,float16,BnB.8bit,FAv2,No Kernel,Phi3ForCausalLM,5.362,27.2,3
4bit-bnb-fa2,microsoft/Phi-3-mini-4k-instruct,0.19,0.0499538078308105,20.034,460631.897,2984.741,pytorch,float16,BnB.4bit,FAv2,No Kernel,Phi3ForCausalLM,3.332,27.2,3
4bit-bnb-eager,microsoft/Phi-3-mini-4k-instruct,0.179,0.0495441932678222,20.358,458687.722,2984.872,pytorch,float16,BnB.4bit,Eager,No Kernel,Phi3ForCausalLM,3.274,27.2,3
float16-fa2,microsoft/Phi-3-mini-4k-instruct,0.057,0.039037950515747,25.728,482526.655,7924.799,pytorch,float16,Unquantized,FAv2,No Kernel,Phi3ForCausalLM,2.511,27.2,3
bfloat16-fa2,microsoft/Phi-3-mini-4k-instruct,0.057,0.0388096008300781,25.777,495012.449,7924.799,pytorch,bfloat16,Unquantized,FAv2,No Kernel,Phi3ForCausalLM,2.501,27.2,3
4bit-awq-gemm-fa2,microsoft/Phi-3-mini-4k-instruct,0.074,0.0387415046691894,25.822,617546.882,2588.969,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Phi3ForCausalLM,2.514,27.2,3
4bit-awq-gemm-eager,microsoft/Phi-3-mini-4k-instruct,0.067,0.0382494735717773,26.175,635611.672,2589.625,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Phi3ForCausalLM,2.47,27.2,3
float32-eager,microsoft/Phi-3-mini-4k-instruct,0.127,0.0351124477386474,28.46,406314.612,15763.828,pytorch,float32,Unquantized,Eager,No Kernel,Phi3ForCausalLM,2.341,27.2,3
float16-eager,microsoft/Phi-3-mini-4k-instruct,0.049,0.0346040306091308,29.099,526241.172,7924.275,pytorch,float16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,2.231,27.2,3
4bit-awq-gemv-eager,microsoft/Phi-3-mini-4k-instruct,0.07,0.0336675834655761,29.751,711769.966,2589.625,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,Phi3ForCausalLM,2.189,27.2,3
bfloat16-eager,microsoft/Phi-3-mini-4k-instruct,0.05,0.0338165740966796,29.84,529081.275,7924.275,pytorch,bfloat16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,2.156,27.2,3
4bit-awq-gemv-fa2,microsoft/Phi-3-mini-4k-instruct,0.077,0.0330388488769531,30.567,724637.588,2588.969,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMV,Phi3ForCausalLM,2.142,27.2,3
4bit-gptq-exllama-v2-eager,microsoft/Phi-3-mini-4k-instruct,0.067,0.0312816638946533,31.81,754859.756,2674.711,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Phi3ForCausalLM,2.044,27.2,3
4bit-gptq-exllama-v1-fa2,microsoft/Phi-3-mini-4k-instruct,0.073,0.0315919361114502,31.925,775172.276,2674.711,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Phi3ForCausalLM,2.043,27.2,3
4bit-awq-exllama-v1-eager,microsoft/Phi-3-mini-4k-instruct,0.687,0.0309729270935058,32.156,717884.039,2569.852,pytorch,float16,AWQ.4bit,Eager,No Kernel,Phi3ForCausalLM,2.646,27.2,3
4bit-gptq-exllama-v2-fa2,microsoft/Phi-3-mini-4k-instruct,0.073,0.0305817594528198,32.422,765619.212,2674.711,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Phi3ForCausalLM,2.017,27.2,3
4bit-awq-exllama-v1-fa2,microsoft/Phi-3-mini-4k-instruct,0.695,0.030370304107666,32.565,737126.917,2569.852,pytorch,float16,AWQ.4bit,FAv2,No Kernel,Phi3ForCausalLM,2.629,27.2,3
