TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
perf: Angular 10 slower than Angular 9,39433,0,0,0,8
can't run multiple ngcc builds in parallel from a single node_modules,38875,0,1,1,18
Angular Elements: `document-register-element` breaking change ,24390,0,2,0,43
i18n with ivy breaks the injection of translated attribute,38231,0,3,1,5
Angular 10 changes router outlet url so site cannot be reloaded in browser,39401,0,0,0,5
Child aux route cannot be closed by setting outlet to null,15718,0,0,0,4
ReferenceError: ngDevMode is not defined,31595,1,0,0,33
"i18n Ivy extactor: missing type=""fmt"" inside <source> ",38791,0,7,0,3
xi18n creates different id's for same texts,39449,0,0,0,8
BrowserAnimationsModule breaks size calculations,36054,0,0,0,12
Testability remains unstable when using requestAnimationFrame - ngZone will always have pending macro tasks,12372,0,0,1,18
ngFor duplicate HTML elements,29052,1,0,0,11
Angular Animation lost binding after changing the order of objects in an array  needs to trigger twice to re-bind the object.,38307,0,0,0,2
HttpClient not completing nested http observable,20755,0,0,0,7
autocomplete doesn't trigger updates using safari,12395,0,0,0,7
hybrid app not logging errors,11977,0,0,0,9
Webpack Warning in system_js_ng_module_factory_loader.js,11580,0,1,0,77
Timing-function sometimes gets ignored in safari,37440,0,0,0,8
Animation increment/decrement not working properly,37214,0,0,0,6
Element duping via :enter and :leave animation with *ngIf,21987,0,0,0,5
Unable to keep CSS3 animation in component go on when component is hidden,21580,0,0,0,8
"Language Service: string vs enum ""Expected the operants to be of similar type or any""",32372,1,0,0,2
"Language service ""component not in module"" error when using `require.context`",31303,0,0,0,5
VSCode + Angular - Intellisense bug with underscore.,31002,0,0,0,4
Identifier 'value' is not defined. 'T' does not contain such a member Angular,32692,1,0,0,7
(lib) (lang)  ngx-share-button' is not a known element ,36581,1,0,0,2
Language service does not handle expressions involving generics correctly,33055,0,0,0,3
i18n Ivy extractor only reports the first location context,39330,0,5,1,2
Improve docs for the `ngDefaultControl` directive,35375,1,4,0,4
Form status is not correctly propagated in the nested CVA forms,38991,0,0,0,3
BUG: ɵɵnextContext in template does not return *latest* context/component instance,38562,0,0,0,4
[AOT/IVY/9.0.0-rc.3] Unable to import components from local non-compiled module (TS-996002),34027,1,0,1,5
BrowserAnimationsModule 6.X fail on Android 4.4 and Android 5.0,25563,0,0,0,4
Loadchildren (dynamic imports) in routing not working when 'enableIvy' is set to true in tsconfig.app.json,34462,0,0,0,2
Angular 10.2.0 leak memory,39419,0,0,0,3
i18n throws error when ICU definitions differ only by whitespace,39227,1,0,0,9
i18n translation duplicated,15573,0,19,1,9
Ivy is leaking memory,35164,0,0,0,13
i18n within foreignObject doesn't work with nested tags,36941,0,7,1,3
XMB and XLIFF output the wrong source line for a message in an inline template,24912,0,0,0,7
Timing of class host bindings can be inconsistent ,37279,1,0,0,4
NgModelGroup's control and NgModel's root are not available until after view initialization.,38830,0,0,0,2
The `global` variable in Zone.js not compatible with the one in @types/node,37531,1,9,1,13
Instance of service from NgModule.imports is not being injected in NgModule constructor or declared components,36720,0,0,0,3
NgZone: gets stuck (onMicroTaskEmpty stops emitting),24055,0,0,0,12
When all the children form controls are disabled  the parent becomes disabled,35184,0,1,0,11
Update timing of formcontrol and formgroup is confusing,34723,0,0,0,4
Angular Library Unit Testing Errors with Ivy/Angular 9,36122,0,0,0,2
Broken link in aio resources section,39331,0,5,0,2
Angular test override promise with an error,35520,1,0,0,2
Event triggering inside unit tests doesn't work ( Ivy engine: enabled),31418,1,0,0,13
ng xi18n --ivy doesn't extract strings from 3rd party libraries,39386,0,0,0,3
service worker won't register after .unregister(),39377,0,0,0,3
Duplicate text when using ICU expression in list without 'other',38073,0,15,0,2
Plural expression within `ng-container` with `ngIf` prevents following markup from being rendered,38144,0,22,0,3
[Ivy] Nested ICU throws `Failed to execute 'appendChild' on 'Node'`,37021,1,13,1,9
listeners property in DebugElement instance does not represent actual event listeners of the element,22148,0,0,0,9
[GitHub] angular-automatic-lock-bot has broken link to automatic conversation locking policy,39358,1,2,0,8
Confusing,39369,1,0,0,1
Runtime Perf Section in Angular.io,18854,0,0,0,5
The router HashLocationStrategy should not use the History API,12341,0,0,0,13
Mat-icon gets displayed as text when you click on it or on later versions from the start,39364,1,0,0,7
Angular HttpClient error,39362,1,0,0,5
Version 11 migrations remove non deprecated API,39345,0,0,0,5
Angular 9 custom module not loading specific component (Can't bind to 'ngIf' since it isn't a known property of 'ng-container'.),38586,1,0,0,3
Child view not updated when observable emits new value (onPush),37137,0,0,0,6
"zone.js v0.11.1: TypeError ""Invalid Calling Object"" & 'undefined' where a stream was expected Errors in IE11",38669,1,9,1,8
zone.js: zone lost inside requireJS (AMD) module,38516,0,5,1,7
Lazy-loaded module import increases the size of main.js,37576,1,0,0,6
Simplify microsyntax variable assignment,12194,0,5,0,5
bug(compiler) Structural directive microsyntax,15067,0,0,0,6
bug(testing): ngOnChanges not called for component via detectChanges(),35614,0,0,0,5
Set attribute error when compiling,39173,0,0,0,4
Duplicated method call when extending the base class with @HostListener,39225,0,0,0,2
Service not treated as singleton when .js extension is added to service,39258,0,0,0,2
ngOnChanges Hook not triggered in angular 9,39260,0,0,0,9
Content projection with slot doesn't always work,36039,1,0,0,4
Style tags in the DOM are not cleaned up after each test run.,35693,0,0,0,2
ngClass/ngStyle are evaluated before exported directives,35140,0,0,0,7
angular 9 / Ivy => async 'as' leads to error,34405,1,0,0,21
HttpClient not following redirect on platform-server,38016,1,0,0,3
Uncaught TypeError: Cannot read property 'id' of undefined,38286,1,0,0,5
Binding a null value to a style property results in parsing errors only with Universal,35735,1,0,0,3
ApplicationRef.tick is called recursively when UpgradeModule.bootstrap is called from inside a tick.,37936,1,0,0,3
Unable to overwrite ngDestroy inside the component,36776,0,0,0,15
Not possible to override lifecycle hooks in decorators,39057,0,0,0,3
ng update @angular/core@next removes options for @ViewChild,32786,1,0,0,6
ngAfterContentChecked() fires inconsistently for @Directive,27877,0,0,0,4
CUSTOM_ELEMENTS_SCHEMA breaks validation for known components,24223,0,0,0,6
Error message when Directive declaration fails to make it clearer when reason for failure is that no property matches the selector,19312,0,0,0,2
query params bug if value if an empty array,39239,0,0,0,3
NGCC is non-hermetic and produces different output depending on source location in file system,39293,0,1,0,10
Angular Compiler compileModuleAndAllComponentsAsync declaration of null,36056,1,0,0,11
'ERROR TypeError: Cannot redefine property: ɵfac' in angular 9 with 'optimization:true',35993,0,0,0,13
bypassSecurityTrustHtml behaves different than sanitize(SecurityContext.HTML  value),24063,0,0,0,4
Forced to use bypassSecurityTrustResourceUrl to avoid getting (WARNING: sanitizing unsafe URL),31361,1,0,0,3
JIT Complier needed with AOT Build for Dynamic Component,39326,0,0,0,2
Unclear error message for hostbinding,39328,1,0,0,2
Sourcemaps for .d.ts files break go to definition in vscode,34446,0,0,0,6
Bazel - Relocate sourcemaps,23520,0,0,0,7
Angular can't disable Ivy,39297,1,0,0,8
AOT errors after NG 8.2 -> NG 9 update,37312,1,0,0,3
Router docs is showing class as interfaces,38563,0,0,0,3
Unwanted padding around links on angular.io,37520,0,0,0,8
Docs not working on chrome,36032,1,0,0,3
problem running tests with bazel,32507,1,0,0,10
items translated by $localize in by custom library angular doesn't extracted,39261,0,0,0,4
bazel test  //packages/core/test:test errors on windows,23281,0,0,1,4
ngcc is extremely slow with --use-program-dependencies,39240,0,4,0,11
export 'constructor' (imported as 'o') was not found in '../../output/output_ast',26743,0,2,0,11
Cannot run protractor tests with root,24905,0,0,0,2
Cannot run tests for compiler-cli locally,24149,0,0,0,4
Building angular requires the code to be placed in a git repository,22551,0,0,0,3
Cross-platform utility scripts on Windows,16846,0,0,0,3
Single file bundles + documentation for ES5 users,9609,0,0,1,4
[ivy] using a template reference before its declaration causes ExpressionChangedAfterItHasBeenCheckedError,34821,0,3,0,11
ViewEncapsulation.Emulated/ViewEncapsulation.Native behave differently on child components,20449,0,0,0,8
AsyncPipe updates when original value of Observable is mutated,39284,0,0,0,4
"Time element throws ""is not a known element"" in Unit Tests",38409,1,0,0,8
error NG1010: Value at position 0 in the NgModule.declarations of Module is not a reference,38947,0,15,0,13
Decorators are not removed when using NGC in Bazel,34080,0,0,0,6
loadTranslations with ICU plural expression not working,39269,1,0,0,4
Router not reusing parent component when changing only the child route,18374,0,1,0,27
i18n: xlf-source containing a different number of HTML Tags compared to xlf-target. Since Angular 9 & 10,38095,0,0,0,10
Two way binding implementation not working properly,38841,0,0,0,6
ERROR: Unable to write a reference to ... when building monorepo-style libraries,38876,0,0,0,5
SlicePipe signature,37253,1,0,0,5
Is it compulsory to pass {value  disabled} to FormControl,35755,1,0,0,10
Angular Form Inputs are memory leaking.,37598,0,0,1,4
"(forms) Add types for ""OnChangeCallback"" and ""OnTouchedCallback""",19329,0,2,0,4
10.1.0 i18n compilation error: Localized bundle generation failed: Cannot read property 'value' of undefined,38686,0,0,1,26
Dynamic component loading with Lazy support,23284,0,0,0,20
Provide routing details in router events,22177,0,8,0,6
Dynamically loading multiple modules to the same view.,16387,0,0,0,19
loading angular modules as plugins ,21583,0,0,0,3
angular does not allow lazy load with AOT and different pipelines,19264,0,0,0,13
Dynamically Module Loader,17287,0,0,0,4
Dynamic imports not working for libraries,36209,0,0,0,17
docs css: not always obvious that code elements are links,26370,0,0,0,10
lazy component not loading parent dependencies,36193,0,0,0,8
httpRequest for a post requestType has a type error and is not resolving to the correct type,37812,1,0,0,3
bug(elements): importing `createCustomElement` breaks SSR,24551,0,4,0,19
"""_ngcontent"" inserted into font-url  making it invalid",38587,0,5,1,2
First load of docs site does not work if opened in a background tab,39153,0,0,0,2
`ng xi18n` duplicating strings in HTML & TS,39198,0,0,0,3
ID generated by xi18n command does not match ID generated at run time,39128,1,0,0,8
Code used inside ICU expressions is not fully type safe/checked.,39064,0,8,0,4
Child Component Reuse and Navigation Question,39183,1,0,0,2
Show All not working on api/common/http/HttpRequest,39156,0,4,0,3
Unable to access json files from angular assets through HttpClient when they start with the letter 'q' or 'Q'.,39177,1,0,0,6
Angular 10 Custom Elements not found,39115,1,0,0,6
Angular 7 libraries do not support APP_INITIALIZER unless the library is in the same application,39130,0,3,0,7
"ng i18n --ivy   incorrect value in ""equiv-text""",39164,0,0,0,2
packaging of @angular/bazel changes esm5.bzl to a format that breaks buildifier_check,33906,0,0,0,4
Bazel integration not working with Bazel 1.0.1,34650,1,0,0,4
Error while building new Angular-9 project created using Angular-cli with bazel,36789,1,0,0,3
Macro Tasks left running after failed http requests with Unknown Error  preventing protractor from completing tests,38795,0,4,1,8
Testing - HttpTestingController throws errors for valid JSON,20690,0,10,0,20
GST-14 ⁃ onSameUrlNavigation config value not set by RouterTestingModule,23347,0,9,1,5
ReactiveForms: AbstractControl.parent could be undefined,16999,0,5,0,1
Instance bound methods do not work as hooks,16478,0,0,0,3
After upgrade  I receive this warning message:  router.js:2122 A router outlet has not been instantiated during routes activation. URL Segment:,38804,0,0,0,17
Event propagation error in platform-webworker caused by routerLink nested within an element that has a (click) handler registered.,13171,0,0,0,7
Provide support for SharedWebworkers,14871,0,0,0,3
valueAsDate is not sent to webworker for input[type=date] control,15330,0,0,0,2
(web worker) Storing lookupByObject for parentNode() and nextSibling() causes events to be routed incorrectly for some controls (select) in web worker scenario,15820,0,0,0,2
Web workers best practices,18328,0,0,0,4
Some click events are not dispatched in WebWorker mode,18342,0,1,0,6
Platform Worker: Animations not working,18610,0,0,0,5
$event.target undefined in platform-webworker,23703,0,0,0,3
Web Worker compiled with main Angular app,23730,0,0,0,3
platform-webworker not releasing listeners upon module destruction  causing HMR to fail,24274,0,0,0,2
Default project does not work on IE9,37270,0,0,0,5
Route resolve with async call used in app which is hosted in iframe on MS Edge,25302,0,0,0,3
"""Out of stack space"" errors with routing in Edge extension popup",26508,0,0,0,10
"Edge requires `crossorigin=""anonymous""` to get `script` files from CDN",32660,0,0,1,5
Angular 10 - Importing Parent Component in Child Component leads to child component not rendered,39075,0,0,0,4
Error during RouterOutlet activation causes subsequent navigation to fail,39030,1,6,0,1
Form input validation fails after being reenabled,39025,1,0,0,4
Breaking change in Ivy data binding!,39044,0,0,0,4
'history.state' object is getting lost when navigate using back/forward buttons,28108,1,15,0,7
Broken link in angular.io,38393,0,0,0,18
Rendering template with plural forms from bundle localized by command localize-translate throws error Missing locale data for the locale,39023,1,0,0,4
Outlet not activated  at run  refresh  or sometimes errors,31531,1,0,0,6
cva Error: Cannot read property 'nativeElement' of undefined,39022,1,0,0,5
Cannot read property 'hasInlines' of undefined,38582,0,1,0,8
Previous HTTP requests are re-issued when using observable based interceptor,39038,0,0,0,4
Angular 9.1 broken karma tests on jenkins,38160,1,0,0,3
Losing `@types/*` packages types on second+ server rebuild,38979,1,3,0,3
Case conversion pipes do not compose under strict TS checking,36259,1,13,0,3
cva control status update,39021,1,0,0,2
Router navigateByUrl does not consistently apply queryParams,18798,0,8,0,28
router.url variable updates even if skipLocationChange = true,38949,0,0,0,2
IVY: properly support parsing namespaced attributes in template,24426,0,4,0,3
zone.js incorrectly throws an error when rejecting a Promise with the `DISABLE_WRAPPING_UNCAUGHT_PROMISE_REJECTION` flag enabled,38334,1,3,1,2
If Data-binding an empty Array in template  the state will be retained,37687,1,0,0,3
Object doesn't support this action  angular 9 - IE11 in dev mode,36701,0,0,0,3
keyup.enter not firing on ↵,21300,0,0,0,4
Unit testing regression in Angular 9/10,38373,0,0,0,5
Entry component scan reports enum references in route data as an internal error.,18207,0,0,0,2
Injector#get is typed incorrectly,29351,0,8,0,5
"""Error: NGCC failed"" when using `""somepackage"": ""file:app/somepackage""` in package.json",38832,0,0,0,20
Unsubscribing interval outside of fakeAsync call leads 1 periodic timer(s) still in the queue.,38651,1,0,0,2
official page to find angular plugins,18375,0,0,0,3
