TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
Can't use a <form> tag with a [formControl] directive,38391,1,4,1,3
"""Navigation triggered outside Angular zone"" warning in unit tests",25837,0,2,1,34
Library is skipped by Ivy / ngcc compiler,40357,1,2,0,14
multiple NG9 angular elements consuming a service as a singleton using providedIn:platform,40301,0,0,0,11
Angular 11.0.6 and 11.0.7: Componentless routes broken in IE11 when navigating,40372,1,0,0,6
User `ngTemplateOutletContext` been modified unexpectedly,40385,0,0,0,3
NgStyle and style can not set `!important`,12009,0,2,0,32
Style guide: Leading underscore conflict with TypeScript docs,26393,0,0,1,20
@angular/service-worker wrong peerDependency in 7.1.0,27233,1,0,0,2
Feat: Add support for TypeScript 3,25200,0,3,0,13
date pipe formatter doesn't format minutes and seconds properly in IE 11.0.9600.18350 and Edge,9524,0,8,0,27
ActivatedRoute doesn't carry data,11812,0,0,0,33
ICU standard Stand Alone day of week with DatePipe is not supported,26922,0,3,1,6
HttpClient doesn't throw on observable if Chrome cancels a request,22324,0,2,0,23
@angular/compiler parseTemplate() missing leading paren in parsed source,40721,0,5,1,0
Duplicate template reference variables are not treated as error with Ivy,40536,0,7,1,0
angular v11 - bug in 2 functions in angular/packages/common/src/i18n/format_date.ts,40377,0,16,1,4
In Ivy: ViewContainerRef.move causes ASSERTION ERROR,37120,0,11,0,2
Memory Leak on Mouse Move and on Route Change,40722,1,0,0,3
FormGroupDirective reset and submit hosts conflicts,40764,0,0,0,2
HttpClient response observable is not cleaned up on Safari when requests times out,26453,0,1,0,1
Memory leak in tests with zone.js >= 0.9.0,40387,0,5,1,11
router CanLoad Route guard broken for common use case,17359,0,0,0,17
Simple Docs for angular cli command | Routing,38461,0,0,0,6
Default ErrorHandler not displaying errors in the console,40366,1,0,0,8
Zone ES2015 distribution: patched toString returns wrong results for null or undefined,40750,0,0,1,1
"[2.1.2] When select[multiple] is false then UI is not ""multiple"" but the ngModel return Array",12585,0,0,1,5
routerLink adds tabindex even if the route is undefined,17616,0,6,0,4
Angular's input validation should align with HTML5 validation! (Currently it does not!),16352,0,5,0,39
ng extract-i18n: Incorrect extraction of placeholders,40670,0,0,0,8
Parameters (and data) only available in the component target,11023,0,0,0,58
bug(core): viewRef._viewContainerRef can leak memory (ViewRef  ViewContainerRef),38648,0,7,1,5
NGCC failure with libraries of similar names,40352,1,4,0,4
Comma placement issue for Currency Pipe (observed for Indian Rupee - INR),40350,1,0,0,2
Angular Elements not working during SSR in Angular 11,40725,0,0,0,1
Bug: HostBinding get incorrect semantics when property name is same as literal,18698,0,5,0,4
HostBinding supports an undocumented magic property name(?),40220,0,8,1,2
Host bindings generate invalid code for quoted property names with dashes,40230,0,8,1,1
queryParms observable always fires empty initially,40339,0,0,0,2
Forms: validators not run when importing extended FormControl class from NPM,40327,0,0,1,3
test,40745,1,0,0,0
docs: No Id's in products.ts in the getting started guide,40189,0,5,1,3
Router throws 'Cannot activate an already activated outlet' when lazy loaded module fails and tries to navigate to another route.,29303,1,0,0,8
"Angular 5 - ""Error: Cannot activate an already activated outlet"" when named outlets are used in children",20694,0,4,0,43
Docs state to update as follows  but does not mention what to do,40280,0,0,0,7
AbstractControl maintains validator after corresponding element is removed from view,14955,0,0,0,7
Memory leak when FormControlName created/destroyed few times,20007,0,6,1,24
CSS encapsulation breaks classes with escaped : colon in name,31844,0,4,1,1
