Juge,Moyenne_Tests,Mediane_Tests,Ecart_type_Tests,Moyenne_Doc,Mediane_Doc,Ecart_type_Doc
antoine,15.833333333333334,0.0,20.112562032599214,54.416666666666664,60.0,22.215712430347104
baptiste,22.916666666666668,27.5,22.508415934463002,49.333333333333336,47.5,18.87438540038918
roxane,16.333333333333332,3.0,18.743887892679396,51.0,57.0,19.116865471476892
theo,24.666666666666668,26.5,20.37526724122938,59.0,62.0,16.28719519354782
