path,extension,size_bytes
data/fossil_fuels/stg_proven_reserves.csv,.csv,283393
data/gapminder/final_population.csv,.csv,1572221
data/gapminder/raw_population.csv,.csv,527092
data/gapminder/raw_population_datasets.xlsx,.xlsx,7100653
data/gapminder/stg_population.csv,.csv,1127012
data/opec/raw_proven_reserves_gas.xlsx,.xlsx,52335
data/opec/raw_proven_reserves_oil.xlsx,.xlsx,38228
data/opec/stg_proven_reserves_gas.csv,.csv,112497
data/opec/stg_proven_reserves_oil.csv,.csv,70732
data/pik/final_greenhouse_gas_emissions_by_gas.csv,.csv,9144299
data/pik/final_greenhouse_gas_emissions_by_sector.csv,.csv,14776514
data/pik/raw_greenhouse_gas_emissions_country_reported.csv,.csv,35325608
data/pik/raw_greenhouse_gas_emissions_third_party.csv,.csv,35707542
data/pik/stg_greenhouse_gas_emissions.csv,.csv,38835757
data/raw/electricity/data_2023_qua.csv,.csv,536759
data/world_bank/final_population.csv,.csv,489289
data/world_bank/raw_population.csv,.csv,1254581
data/world_bank/stg_population.csv,.csv,355191
data-preparation/.pre-commit-config.yaml,.yaml,631
data-preparation/poetry.lock,.lock,188892
data-preparation/pyproject.toml,.toml,582
data-preparation/README.md,.md,2961
data-preparation/scripts/fossil_fuels/01_transform.py,.py,340
data-preparation/scripts/fossil_fuels/02_upload_to_prod.py,.py,538
data-preparation/scripts/gapminder/01_transform.py,.py,1111
data-preparation/scripts/opec/01_transform.py,.py,527
data-preparation/scripts/pik/01_split_original_dataset.py,.py,1267
data-preparation/scripts/pik/02_transform.py,.py,1305
data-preparation/scripts/world_bank/01_extract.py,.py,457
data-preparation/scripts/world_bank/02_transform.py,.py,819
data-preparation/sdp_data_preparation/__init__.py,.py,0
data-preparation/sdp_data_preparation/countries_and_zones/processors.py,.py,3360
data-preparation/sdp_data_preparation/countries_and_zones/translators.py,.py,26344
data-preparation/sdp_data_preparation/countries_and_zones/__init__.py,.py,139
data-preparation/sdp_data_preparation/fossil_fuels/stg_proven_reserves.py,.py,2262
data-preparation/sdp_data_preparation/fossil_fuels/__init__.py,.py,56
data-preparation/sdp_data_preparation/gapminder/final_population.py,.py,1236
data-preparation/sdp_data_preparation/gapminder/stg_population.py,.py,1489
data-preparation/sdp_data_preparation/gapminder/__init__.py,.py,102
data-preparation/sdp_data_preparation/opec/README.md,.md,443
data-preparation/sdp_data_preparation/opec/stg_proven_reserves_gas.py,.py,2086
data-preparation/sdp_data_preparation/opec/stg_proven_reserves_oil.py,.py,2176
data-preparation/sdp_data_preparation/opec/__init__.py,.py,128
data-preparation/sdp_data_preparation/pik/common.py,.py,596
data-preparation/sdp_data_preparation/pik/final_greenhouse_gas_emissions_by_gas.py,.py,1464
data-preparation/sdp_data_preparation/pik/final_greenhouse_gas_emissions_by_sector.py,.py,1475
data-preparation/sdp_data_preparation/pik/README.md,.md,641
data-preparation/sdp_data_preparation/pik/stg_greenhouse_gas_emissions.py,.py,5262
