extension,count
NO_EXT,18
.csv,47
.development,2
.ico,1
.idx,1
.iml,1
.js,6
.json,15
.lock,6
.md,6
.pack,1
.png,5
.production,2
.py,69
.rev,1
.sample,14
.svg,1
.toml,1
.ts,49
.tsx,70
.txt,1
.webmanifest,1
.xlsx,3
.xml,5
.yaml,1
.yml,4
