"sep=,"
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/buffer.h.xml,BUFFER_H;BUF_INIT_TRACKING;CHARACTER_CLASS_DEBUG;DMALLOC;VERIFY_ALIGNMENT;_WIN32;__GNUC__;__USE_MINGW_ANSI_STDIO;__clang__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/circ_list.h.xml,CIRC_LIST_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/clinat.c.xml,HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/clinat.h.xml,CLINAT_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/common.h.xml,COMMON_H;_WIN64
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/comp-lz4.c.xml,ENABLE_LZ4;HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/comp-lz4.h.xml,ENABLE_LZ4;OPENVPN_COMP_LZ4_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/comp.c.xml,ENABLE_LZ4;ENABLE_LZO;HAVE_CONFIG_H;USE_COMP;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/comp.h.xml,ENABLE_LZ4;ENABLE_LZO;OPENVPN_COMP_H;USE_COMP
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/compstub.c.xml,HAVE_CONFIG_H;USE_COMP;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/console.c.xml,ENABLE_SYSTEMD;HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/console.h.xml,CONSOLE_H;ENABLE_SYSTEMD
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/console_builtin.c.xml,HAVE_CONFIG_H;HAVE_TERMIOS_H;_MSC_VER;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/console_systemd.c.xml,ENABLE_SYSTEMD;SYSTEMD_NEWER_THAN_216
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/crypto.c.xml,ENABLE_OFB_CFB_MODE;ENABLE_SMALL;HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/crypto.h.xml,CRYPTO_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/crypto_backend.h.xml,CRYPTO_BACKEND_H_;DMALLOC;ENABLE_CRYPTO_MBEDTLS;ENABLE_CRYPTO_OPENSSL
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/crypto_mbedtls.c.xml,DMALLOC;ENABLE_CRYPTO_MBEDTLS;ENABLE_DEBUG;ENABLE_PREDICTION_RESISTANCE;ENABLE_SMALL;HAVE_CONFIG_H;HAVE_MBEDTLS_SSL_TLS_PRF;MBEDTLS_CHACHAPOLY_C;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/crypto_mbedtls.h.xml,CRYPTO_MBEDTLS_H_;ENABLE_PREDICTION_RESISTANCE
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/crypto_openssl.c.xml,CRYPTO_MDEBUG;DMALLOC;ENABLE_CRYPTO_OPENSSL;ENABLE_OFB_CFB_MODE;ENABLE_SMALL;EVP_CIPH_FLAG_CTS;EVP_MAX_KEY_LENGTH;EVP_MAX_MD_SIZE;HAVE_CONFIG_H;HAVE_OPENSSL_ENGINE;LIBRESSL_VERSION_NUMBER;MAX_CIPHER_KEY_LENGTH;MAX_HMAC_KEY_LENGTH;NID_chacha20_poly1305;OPENSSL_FIPS;OPENSSL_NO_EC;OPENSSL_VERSION_NUMBER;_MSC_VER;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/crypto_openssl.h.xml,CRYPTO_OPENSSL_H_;OPENSSL_VERSION_NUMBER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/cryptoapi.c.xml,ENABLE_CRYPTOAPI;HAVE_CONFIG_H;HAVE_XKEY_PROVIDER;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/cryptoapi.h.xml,_CRYPTOAPI_H_
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/dhcp.c.xml,HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/dhcp.h.xml,DHCP_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/env_set.c.xml,DEBUG_VERBOSE_SETENV;HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/env_set.h.xml,ENV_SET_H;UNSAFE_DEBUG
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/errlevel.h.xml,ERRLEVEL_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/error.c.xml,ABORT_ON_ERROR;ENABLE_DEBUG;ENABLE_MEMSTATS;ENABLE_PLUGIN;EXTENDED_SOCKET_ERROR_CAPABILITY;HAVE_CONFIG_H;HAVE_DUP2;LOG_OPENVPN;OPENVPN_DEBUG_COMMAND_LINE;PORT_SHARE;SYSLOG_CAPABILITY;_MSC_VER;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/error.h.xml,ENABLE_DEBUG;ENABLE_MANAGEMENT;ENABLE_PKCS11;ENABLE_SMALL;ENOBUFS;ERROR_H;_MSC_VER;_WIN32;__GNUC__;__USE_MINGW_ANSI_STDIO;static_assert
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/event.c.xml,ENABLE_DEBUG;EPOLL;FD_SETSIZE;HAVE_CONFIG_H;POLL;SELECT;SELECT_PREFERRED_OVER_POLL;TARGET_DARWIN;_MSC_VER;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/event.h.xml,EVENT_H;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/fdmisc.c.xml,HAVE_CONFIG_H;_MSC_VER;_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/openvpn/fdmisc.h.xml,FD_MISC_H;_WIN32
