source,first_commit_hash,first_commit_date,first_commit_month
other,04a96feecefc37ff566aca5e46c457648a8ef668,2025-02-07,2025-02
old_init,ca2250deac86fcd4c6bef71b476d3449188a88ee,2025-03-21,2025-03
mubi,e835eebdea3bb63b542c81983e4c288f55f1f73e,2025-03-28,2025-03
cnc,9e9b0eb0d6dcaa38ad6c930a7408a8c76b792e76,2025-04-04,2025-04
sample,f36c5336007274e320dbd66b33d5b5cb9d45cc5b,2025-04-12,2025-04
allocine,f0201568f3b959c0cc284be145d25ab0234ca412,2025-05-13,2025-05
ml_predictions,7c6387be04554a75c48ba1bedc3278378b3bc0b9,2025-06-23,2025-06
