access_mode,first_commit_hash,first_commit_date,first_commit_month
raw_file,04a96feecefc37ff566aca5e46c457648a8ef668,2025-02-07,2025-02
other,07966897ec1c197c4b60c660e2a4985aeb8975ae,2025-02-14,2025-02
notebook,93958984830e6a444ed3a6b673a45a02ddb46af4,2025-02-26,2025-02
db_migration,b61c6d6242501b2bc7225a1ae3badd2940967936,2025-03-21,2025-03
extraction,88a866bc0dee5f81adf8f5c8fa478d55bc233581,2025-03-21,2025-03
scraping,e835eebdea3bb63b542c81983e4c288f55f1f73e,2025-03-28,2025-03
db_seed,f36c5336007274e320dbd66b33d5b5cb9d45cc5b,2025-04-12,2025-04
