name,contributors,url
offseason_missiontransition_datasource,3,https://github.com/dataforgoodfr/offseason_missiontransition_datasource
offseason_missiontransition_categorisation,3,https://github.com/dataforgoodfr/offseason_missiontransition_categorisation
d4g-templates,3,https://github.com/dataforgoodfr/d4g-templates
offseason_greenlobby,3,https://github.com/dataforgoodfr/offseason_greenlobby
14_BalanceTesHaters,3,https://github.com/dataforgoodfr/14_BalanceTesHaters
batch1_adoptez-moi,2,https://github.com/dataforgoodfr/batch1_adoptez-moi
changez2017,2,https://github.com/dataforgoodfr/changez2017
batch4_diafoirus,2,https://github.com/dataforgoodfr/batch4_diafoirus
batch4_data_manifesto,2,https://github.com/dataforgoodfr/batch4_data_manifesto
batch4_diafoirus_mimic,2,https://github.com/dataforgoodfr/batch4_diafoirus_mimic
batch5_phenix_viztavie,2,https://github.com/dataforgoodfr/batch5_phenix_viztavie
batch8_accurolab,2,https://github.com/dataforgoodfr/batch8_accurolab
batch8_impactscore,2,https://github.com/dataforgoodfr/batch8_impactscore
batch8_mednum,2,https://github.com/dataforgoodfr/batch8_mednum
covid_certificate_generator,2,https://github.com/dataforgoodfr/covid_certificate_generator
mm2_bechdelai-nlp,2,https://github.com/dataforgoodfr/mm2_bechdelai-nlp
website2022,2,https://github.com/dataforgoodfr/website2022
batch9_dyslexia-dev,2,https://github.com/dataforgoodfr/batch9_dyslexia-dev
offseason_faune_marine,2,https://github.com/dataforgoodfr/offseason_faune_marine
batch11_cartovegetation,2,https://github.com/dataforgoodfr/batch11_cartovegetation
peer-session-3,2,https://github.com/dataforgoodfr/peer-session-3
14_Biolit,2,https://github.com/dataforgoodfr/14_Biolit
14_PrixChangementClimatique,2,https://github.com/dataforgoodfr/14_PrixChangementClimatique
14_VCMWaterWatch,2,https://github.com/dataforgoodfr/14_VCMWaterWatch
panorama,1,https://github.com/dataforgoodfr/panorama
batch1_frateli,1,https://github.com/dataforgoodfr/batch1_frateli
batch1_impala,1,https://github.com/dataforgoodfr/batch1_impala
batch1_data-for-food,1,https://github.com/dataforgoodfr/batch1_data-for-food
batch7_tomorrow_front,1,https://github.com/dataforgoodfr/batch7_tomorrow_front
batch7_tomorrow_back,1,https://github.com/dataforgoodfr/batch7_tomorrow_back
batch7_tomorrow_datascience,1,https://github.com/dataforgoodfr/batch7_tomorrow_datascience
batch8_jogl,1,https://github.com/dataforgoodfr/batch8_jogl
batch8_microfaune,1,https://github.com/dataforgoodfr/batch8_microfaune
batch8_pyronear,1,https://github.com/dataforgoodfr/batch8_pyronear
batch8_riepost,1,https://github.com/dataforgoodfr/batch8_riepost
awesome-data-for-good,1,https://github.com/dataforgoodfr/awesome-data-for-good
complotismenousvoila,1,https://github.com/dataforgoodfr/complotismenousvoila
batch9_opengeoscales,1,https://github.com/dataforgoodfr/batch9_opengeoscales
batch9_olvo,1,https://github.com/dataforgoodfr/batch9_olvo
batch9_geowatchlabs,1,https://github.com/dataforgoodfr/batch9_geowatchlabs
batch9_crater,1,https://github.com/dataforgoodfr/batch9_crater
batch9_openfakefacts,1,https://github.com/dataforgoodfr/batch9_openfakefacts
dfg-new-website,1,https://github.com/dataforgoodfr/dfg-new-website
batch9_geowatchlabs-2-betail,1,https://github.com/dataforgoodfr/batch9_geowatchlabs-2-betail
offseason_missiontransition_extraction,1,https://github.com/dataforgoodfr/offseason_missiontransition_extraction
climatewatch,1,https://github.com/dataforgoodfr/climatewatch
batch10_avastar,1,https://github.com/dataforgoodfr/batch10_avastar
batch10_openfoodfacts,1,https://github.com/dataforgoodfr/batch10_openfoodfacts
bechdelai-tool,1,https://github.com/dataforgoodfr/bechdelai-tool
ecolopasecolo,1,https://github.com/dataforgoodfr/ecolopasecolo
devops,1,https://github.com/dataforgoodfr/devops
d4g-prod,1,https://github.com/dataforgoodfr/d4g-prod
bechdelai-tool-image,1,https://github.com/dataforgoodfr/bechdelai-tool-image
bechdelai-demo,1,https://github.com/dataforgoodfr/bechdelai-demo
batch11_recofish,1,https://github.com/dataforgoodfr/batch11_recofish
bloom-trawlwatcher,1,https://github.com/dataforgoodfr/bloom-trawlwatcher
protectclimateactivists,1,https://github.com/dataforgoodfr/protectclimateactivists
bloom-fishing-form,1,https://github.com/dataforgoodfr/bloom-fishing-form
d4g-notion-dashboard,1,https://github.com/dataforgoodfr/d4g-notion-dashboard
d4g-s3-backup,1,https://github.com/dataforgoodfr/d4g-s3-backup
12_cartographie_campements,1,https://github.com/dataforgoodfr/12_cartographie_campements
12_350org,1,https://github.com/dataforgoodfr/12_350org
12_linkr,1,https://github.com/dataforgoodfr/12_linkr
peer-session-2,1,https://github.com/dataforgoodfr/peer-session-2
bloom-app-form,1,https://github.com/dataforgoodfr/bloom-app-form
13_505,1,https://github.com/dataforgoodfr/13_505
synapse-docker,1,https://github.com/dataforgoodfr/synapse-docker
offseason-shelter-for-science-app,1,https://github.com/dataforgoodfr/offseason-shelter-for-science-app
d4g-community-manager,1,https://github.com/dataforgoodfr/d4g-community-manager
offseason-proteines-resilientes,1,https://github.com/dataforgoodfr/offseason-proteines-resilientes
14_ObservatoirePratiqueInfluence,1,https://github.com/dataforgoodfr/14_ObservatoirePratiqueInfluence
14_IndexFeminisationPouvoir,1,https://github.com/dataforgoodfr/14_IndexFeminisationPouvoir
14_Data4Trees,1,https://github.com/dataforgoodfr/14_Data4Trees
14_ValorisationDonneeMeteo,1,https://github.com/dataforgoodfr/14_ValorisationDonneeMeteo
14_EqualLegalAid,1,https://github.com/dataforgoodfr/14_EqualLegalAid
14_RelaxesPourClimat,1,https://github.com/dataforgoodfr/14_RelaxesPourClimat
14_EUFactForce,1,https://github.com/dataforgoodfr/14_EUFactForce
14_TauxBioCantines,1,https://github.com/dataforgoodfr/14_TauxBioCantines
Coordonnees,1,https://github.com/dataforgoodfr/Coordonnees
batch2_isg,0,https://github.com/dataforgoodfr/batch2_isg
batch2_basefugees,0,https://github.com/dataforgoodfr/batch2_basefugees
batch2_impala,0,https://github.com/dataforgoodfr/batch2_impala
batch2_simplon,0,https://github.com/dataforgoodfr/batch2_simplon
batch2_oxfam,0,https://github.com/dataforgoodfr/batch2_oxfam
batch2_bsf,0,https://github.com/dataforgoodfr/batch2_bsf
batch3_courdescomptes,0,https://github.com/dataforgoodfr/batch3_courdescomptes
batch4_cour_des_comptes,0,https://github.com/dataforgoodfr/batch4_cour_des_comptes
batch4_revue_ethique,0,https://github.com/dataforgoodfr/batch4_revue_ethique
dataforgood,0,https://github.com/dataforgoodfr/dataforgood
